"","year","site_cat","family","code","mean","std"
"1",2017,"NEMMA","Angelfishes","paca",0.6,1.34164078649987
"2",2017,"NEMMA","Barracudas","sphy",0,0
"3",2017,"NEMMA","Boxfishes","ostr",0,0
"4",2017,"NEMMA","Butterflyfishes","chae",1.8,3.03315017762062
"5",2017,"NEMMA","Chubs","kyps",0,0
"6",2017,"NEMMA","Damselfishes","pcen",14.8,21.2414688757628
"7",2017,"NEMMA","Filefishes","mona",25.2,56.3489130329947
"8",2017,"NEMMA","Groupers","serr",312.4,268.769976001785
"9",2017,"NEMMA","Grunts","haem",60.4,68.4894152406049
"10",2017,"NEMMA","Herbivores","herb",1817,561.6684965351
"11",2017,"NEMMA","Jacks","cara",198.8,382.561367626163
"12",2017,"NEMMA","Morays","mura",0,0
"13",2017,"NEMMA","Parrotfishes","scar",1359.2,586.525106027014
"14",2017,"NEMMA","Porcupinefishes","diod",0,0
"15",2017,"NEMMA","Porgies","spar",0,0
"16",2017,"NEMMA","Pufferfishes","tetr",0,0
"17",2017,"NEMMA","Scorpionfishes","scor",0,0
"18",2017,"NEMMA","Snappers","lutj",52.4,69.4283803642286
"19",2017,"NEMMA","Surgeonfishes","acan",457.8,44.6452685063042
"20",2017,"NEMMA","Total","all",2540,666.236819757059
"21",2017,"NEMMA","Triggerfishes","bali",0,0
"22",2017,"NEMMA","Wrasses","labr",56.4,25.24480144505
"23",2019,"NDNP","Angelfishes","paca",58.7857142857143,69.3110919877005
"24",2019,"NDNP","Barracudas","sphy",182.428571428571,594.147963219434
"25",2019,"NDNP","Boxfishes","ostr",18.2142857142857,24.6582130846392
"26",2019,"NDNP","Butterflyfishes","chae",88.0714285714286,62.281574365895
"27",2019,"NDNP","Chubs","kyps",38.4285714285714,102.965800360877
"28",2019,"NDNP","Damselfishes","pcen",42.9285714285714,50.2676900139708
"29",2019,"NDNP","Filefishes","mona",77.2142857142857,76.7755756148335
"30",2019,"NDNP","Groupers","serr",2140,1070.27753410038
"31",2019,"NDNP","Grunts","haem",538.857142857143,618.851026828423
"32",2019,"NDNP","Herbivores","herb",3114.28571428571,1196.41209960779
"33",2019,"NDNP","Jacks","cara",68.5,101.085455090083
"34",2019,"NDNP","Morays","mura",18.9285714285714,50.6898021692337
"35",2019,"NDNP","Parrotfishes","scar",1400,897.749836664295
"36",2019,"NDNP","Porcupinefishes","diod",212.928571428571,326.650004247245
"37",2019,"NDNP","Porgies","spar",77.5,167.21646496038
"38",2019,"NDNP","Pufferfishes","tetr",0.142857142857143,0.534522483824849
"39",2019,"NDNP","Scorpionfishes","scor",0.714285714285714,2.67261241912424
"40",2019,"NDNP","Snappers","lutj",639.428571428571,823.838456372244
"41",2019,"NDNP","Surgeonfishes","acan",1714.28571428571,622.206919400171
"42",2019,"NDNP","Total","all",7716.64285714286,3138.24486976994
"43",2019,"NDNP","Triggerfishes","bali",253.071428571429,333.30107994141
"44",2019,"NDNP","Wrasses","labr",146.285714285714,89.9866901025057
"45",2025,"NDNP","Angelfishes","paca",18.8984987821707,24.5317398782087
"46",2025,"NDNP","Barracudas","sphy",90.5782855133979,281.496470702915
"47",2025,"NDNP","Boxfishes","ostr",2.1362262217198,4.96041775663724
"48",2025,"NDNP","Butterflyfishes","chae",28.4737478937491,25.3350341503031
"49",2025,"NDNP","Chubs","kyps",8.09637988414786,27.529335472791
"50",2025,"NDNP","Damselfishes","pcen",48.7819980633788,64.002820889269
"51",2025,"NDNP","Filefishes","mona",21.3755787780773,39.5175474531026
"52",2025,"NDNP","Groupers","serr",518.826440373074,249.324359580649
"53",2025,"NDNP","Grunts","haem",618.114645952878,918.233797383428
"54",2025,"NDNP","Herbivores","herb",2088.81364092277,1469.83119564216
"55",2025,"NDNP","Jacks","cara",84.1903237796489,179.66537260108
"56",2025,"NDNP","Morays","mura",2.05768459249594,4.62072598608145
"57",2025,"NDNP","Parrotfishes","scar",884.691102360488,589.104645017092
"58",2025,"NDNP","Porcupinefishes","diod",24.3617745756657,61.9265502150276
"59",2025,"NDNP","Porgies","spar",143.610148267192,337.05957978524
"60",2025,"NDNP","Pufferfishes","tetr",0,0
"61",2025,"NDNP","Scorpionfishes","scor",1.27503393255611,3.44475030530571
"62",2025,"NDNP","Snappers","lutj",257.995470345111,357.453669154386
"63",2025,"NDNP","Surgeonfishes","acan",1204.12253856228,1238.6617098005
"64",2025,"NDNP","Total","all",4224.97986240861,2503.56073665968
"65",2025,"NDNP","Triggerfishes","bali",117.652577198242,195.471594483542
"66",2025,"NDNP","Wrasses","labr",149.741407332323,123.533801745409
"67",2025,"NEMMA","Angelfishes","paca",0,0
"68",2025,"NEMMA","Barracudas","sphy",0,0
"69",2025,"NEMMA","Boxfishes","ostr",3.2991728310362,7.37717471971737
"70",2025,"NEMMA","Butterflyfishes","chae",3.50840433844588,4.93035523439159
"71",2025,"NEMMA","Chubs","kyps",56.333948702584,109.41441414492
"72",2025,"NEMMA","Damselfishes","pcen",99.8226737231844,63.6656134792781
"73",2025,"NEMMA","Filefishes","mona",1.9375476000998,4.33248814346473
"74",2025,"NEMMA","Groupers","serr",81.056689504921,139.959334018405
"75",2025,"NEMMA","Grunts","haem",1.6666699897935,3.72678739323715
"76",2025,"NEMMA","Herbivores","herb",2273.91857784261,2037.67766270334
"77",2025,"NEMMA","Jacks","cara",21.4184412244754,28.6854712186769
"78",2025,"NEMMA","Morays","mura",0,0
"79",2025,"NEMMA","Parrotfishes","scar",1333.41099607115,1339.05646811486
"80",2025,"NEMMA","Porcupinefishes","diod",40.92778128712,91.5173011262441
"81",2025,"NEMMA","Porgies","spar",0,0
"82",2025,"NEMMA","Pufferfishes","tetr",0,0
"83",2025,"NEMMA","Scorpionfishes","scor",0,0
"84",2025,"NEMMA","Snappers","lutj",75.4007754193752,81.0067109004592
"85",2025,"NEMMA","Surgeonfishes","acan",940.507581771464,981.761759793689
"86",2025,"NEMMA","Total","all",2731.60029920516,2075.99783467432
"87",2025,"NEMMA","Triggerfishes","bali",0,0
"88",2025,"NEMMA","Wrasses","labr",72.3096167415146,26.604588997861
