"","category","species","percent_tot","se","status"
"1","Algae","Dictyota spp.",21.05,4.85787161899804,"Native"
"2","Algae","Halimeda spp.",19.55,2.12051487458432,"Native"
"3","Algae","Jania spp.",0.25,0.176776695296637,"Native"
"4","Algae","Penicillus spp.",0.633333333333333,0.0849836585598798,"Native"
"5","Algae","Udotea spp.",0.483333333333333,0.173605555466664,"Native"
"6","Bare substrate","Rock",4.23333333333333,2.08619803044251,"Native"
"7","Bare substrate","Rubble",9.56666666666667,2.8165384586206,"Native"
"8","Bare substrate","Sand",14.0833333333333,4.04085043304281,"Native"
"9","Bare substrate","Sand / Silt",0.95,0.67175144212722,"Native"
"10","Seagrass","Syringodium filiforme",0.8,0.291547594742265,"Native"
"11","Seagrass","Thalassia testudinum",26.0166666666667,4.4293497139974,"Native"
"12","Sponges & soft coral","Encrusting sponge",1.68333333333333,0.777049261987653,"Native"
"13","Stony coral","Porites furcata",0.0333333333333333,0.0235702260395516,"Native"
"14","Stony coral","Siderastrea radians",0.666666666666667,0.210290803941167,"Native"
