"","category","species","percent_tot","se"
"1","Algae","Amphiroa spp.",0.7,0.363484816906033
"2","Algae","Avrainvillea spp.",0.00833333333333333,0.00833333333333333
"3","Algae","Caulerpa spp.",0.525,0.310699357754552
"4","Algae","Dasya spp.",0.0166666666666667,0.0166666666666667
"5","Algae","Dictyosphaeria cavernosa",0.00833333333333333,0.00833333333333333
"6","Algae","Dictyota spp.",10.6166666666667,3.77125960255973
"7","Algae","Galaxaura spp.",0.0916666666666667,0.0514315274924051
"8","Algae","Halimeda spp.",16.3954545454545,1.86475022145856
"9","Algae","Jania spp.",0.15,0.124011240937215
"10","Algae","Lobophora spp.",0.708333333333333,0.471531729279347
"11","Algae","Microdictyon spp.",0.0833333333333333,0.0440958551844098
"12","Algae","Penicillus spp.",1.7969696969697,0.583811295726151
"13","Algae","Sargassum spp.",0.0416666666666667,0.0416666666666667
"14","Algae","Ventricaria ventricosa",0.358333333333333,0.113790299776529
"15","Bare substrate","Hard bottom",0.291666666666667,0.21229565338095
"16","Bare substrate","Rubble",0.0416666666666667,0.0416666666666667
"17","Bare substrate","Sand",33,4.14147536293749
"18","Bare substrate","Sand / Silt",1.79166666666667,1.57809140253265
"19","Sea grass","Halodule wrightii",0.125,0.0897175703206592
"20","Sea grass","Halophila decipiens",0.0416666666666667,0.0416666666666667
"21","Sea grass","Halophila stipulacea",1.35833333333333,1.15617304548718
"22","Sea grass","Syringodium filiforme",9.17916666666667,2.40053228261963
"23","Sea grass","Thalassia testudinum",21.9375,5.28573381921335
"24","Sponges & soft coral","Gorgonian",0.0166666666666667,0.0166666666666667
"25","Sponges & soft coral","Sponge",0.0166666666666667,0.0166666666666667
"26","Stony coral","Favia fragum",0.00833333333333333,0.00833333333333333
"27","Stony coral","Manicina areolata",0.075,0.075
"28","Stony coral","Porites porites",0.258333333333333,0.179417548098441
"29","Stony coral","Siderastrea radians",0.1,0.082572282384477
