"","category","species","percent_tot","se"
"1","Algae","Halimeda spp.",16.3954545454545,1.86475022145856
"2","Algae","Dictyota spp.",10.6166666666667,3.77125960255973
"3","Algae","Penicillus spp.",1.7969696969697,0.583811295726151
"4","Algae","Lobophora spp.",0.708333333333333,0.471531729279347
"5","Algae","Amphiroa spp.",0.7,0.363484816906033
"6","Algae","Caulerpa spp.",0.525,0.310699357754552
"7","Algae","Ventricaria ventricosa",0.358333333333333,0.113790299776529
"8","Algae","Jania spp.",0.15,0.124011240937215
"9","Algae","Galaxaura spp.",0.0916666666666667,0.0514315274924051
"10","Algae","Microdictyon spp.",0.0833333333333333,0.0440958551844098
"11","Algae","Sargassum spp.",0.0416666666666667,0.0416666666666667
"12","Algae","Dasya spp.",0.0166666666666667,0.0166666666666667
"13","Algae","Avrainvillea spp.",0.00833333333333333,0.00833333333333333
"14","Algae","Dictyosphaeria cavernosa",0.00833333333333333,0.00833333333333333
"15","Bare substrate","Sand",33,4.14147536293749
"16","Bare substrate","Sand / Silt",1.79166666666667,1.57809140253265
"17","Bare substrate","Hard bottom",0.291666666666667,0.21229565338095
"18","Bare substrate","Rubble",0.0416666666666667,0.0416666666666667
"19","Sea grass","Thalasia testudinum",21.9375,5.28573381921335
"20","Sea grass","Syringodium filiforme",9.17916666666667,2.40053228261963
"21","Sea grass","Halophila stipulacea",1.35833333333333,1.15617304548718
"22","Sea grass","Halodule wrightii",0.125,0.0897175703206592
"23","Sea grass","Halophila decipiens",0.0416666666666667,0.0416666666666667
"24","Sponges & soft coral","Gorgonian",0.0166666666666667,0.0166666666666667
"25","Sponges & soft coral","Sponge",0.0166666666666667,0.0166666666666667
"26","Stony coral","Porites porites",0.258333333333333,0.179417548098441
"27","Stony coral","Siderastrea radians",0.1,0.082572282384477
"28","Stony coral","Manicina areolata",0.075,0.075
"29","Stony coral","Favia fragum",0.00833333333333333,0.00833333333333333
