"","genotype","nursery","location","structure"
"1","ACER03","York","A1","Rope"
"2","ACER09","York","B1","Rope"
"3","ACER08","York","C1","Rope"
"4","ACER GB","York","D1","Tree"
"5","APRO GB","York","E1","Tree"
"6","APAL GB","York","F1","Tree"
"7","ACER03","York","A2","Rope"
"8","ACER09","York","B2","Rope"
"9","ACER05","York","C2","Rope"
"10","APRO04","York","E2","Rope"
"11","APRO01","York","F2","Rope"
"12","ACER09","York","A3","Rope"
"13","ACER08","York","D3","Rope"
"14","ACER06","York","F3","Rope"
"15","ACER04","York","F3","Rope"
"16","APRO04","York","B4","Rope"
"17","APRO05","York","C4","Rope"
"18","APRO01","York","C4","Rope"
"19","APRO07","York","D4","Rope"
"20","ACER01","York","F4","Rope"
"21","APAL13","York","B5","Rope"
"22","APAL23","York","C5","Rope"
"23","APRO6","York","D5","Rope"
"24","ACER07","York","F5","Rope"
"25","APAL03","York","A6","Rope"
"26","APRO04","York","C6","Rope"
"27","ACER02","York","E6","Rope"
"28","APAL01","York","F6","Rope"
"29","APAL26","York","A7","Tree"
"30","APAL09","York","B7","Tree"
"31","APAL05","York","B7","Tree"
"32","APAL10","York","C7","Tree"
"33","APAL11","York","D7","Tree"
"34","APAL16","York","D7","Tree"
"35","APAL06","York","E7","Tree"
"36","APAL13","York","F7","Tree"
"37","APAL12","York","A8","Tree"
"38","APAL14","York","B8","Tree"
"39","APAL15","York","C8","Tree"
"40","APAL20","York","C8","Tree"
"41","APRO03","York","D8","Tree"
"42","APRO06","York","D8","Tree"
"43","APAL18","York","D9","Tree"
"44","APAL17","York","D9","Tree"
"45","APAL13","Ten Pound","A1","Tree"
"46","APAL24","Ten Pound","A1","Tree"
"47","APAL25","Ten Pound","A2","Tree"
"48","ACER02","Ten Pound","B3","Rope"
"49","ACER02","Ten Pound","A4","Rope"
"50","APRO06","Ten Pound","B5","Rope"
"51","ACER09","Ten Pound","A6","Rope"
"52","APRO06","Ten Pound","B7","Rope"
"53","ACER05","Ten Pound","A8","Rope"
"54","APRO05","Ten Pound","B9","Rope"
"55","ACER11","Ten Pound","A10","Rope"
