"genotype","collection_site","collection_lat","collection_lon","york_locations","tpb_locations","n_trees","n_ropes","outplant_colonies","york_colonies","tpb_colonies","ricketts_colonies","survivorship","se"
"ACER01","Exchange Bay",17.0423,-61.68254,"F4","",0,1,17,7,7,3,96.19,3.12
"ACER02","Cervi Heaven",17.07555,-61.6678,"E6","B3, A4",0,3,39,13,17,9,81.65,9.3
"ACER03","Little Bird Channel",17.16702,-61.72996,"A1, A2","",0,2,20,6,5,9,96.21,2.09
"ACER04","Little Bird Channel",17.16514,-61.73107,"F3","",0,1,0,3,0,0,90,NA
"ACER05","Little Bird Channel",17.16578,-61.73129,"C2","A8",0,2,19,5,8,6,83.08,7.9
"ACER06","Great Bird",17.14907,-61.72346,"F3","",0,1,6,1,3,2,83.33,14.24
"ACER07","Hells Gate",17.13977,-61.72128,"F5","",0,1,0,12,3,0,76.67,16.78
"ACER08","Man of War",17.0655,-61.66287,"C1, D3","",0,2,19,10,4,5,94.08,2.43
"ACER09","Hells Gate",17.14007,-61.7209,"B1, B2, A3","A6",0,4,19,7,7,5,94,3.69
"ACER10","Indian Creek",NA,NA,"","",0,0,0,0,0,0,NA,NA
"ACER11","Hells Gate",17.140118,-61.721773,"","A10",0,1,0,0,8,0,41.25,NA
"APAL01","Friar's Head",17.04817,-61.67191,"F6","",0,1,0,0,3,8,40.83,25.83
"APAL02","North Green",17.08215,-61.66522,"","",0,0,0,11,0,0,91.67,NA
"APAL03","North Green",17.08195,-61.6652,"A6","",0,1,0,0,5,5,37.5,12.5
"APAL04","North Green",17.07683333,-61.66358333,"","",0,0,0,0,0,0,NA,NA
"APAL05","North Green",17.07663333,-61.6627,"B7","",1,0,0,0,0,0,NA,NA
"APAL06","North Green",17.07516667,-61.66471667,"E7","",1,0,0,0,0,15,100,NA
"APAL07","North Green",17.07463333,-61.66496667,"","",0,0,0,10,0,0,90.91,NA
"APAL08","Little Bird Channel",17.166993,-61.730005,"","",0,0,0,0,0,0,NA,NA
"APAL09","Little Bird Channel",17.16488,-61.73041,"B7","",1,0,0,0,5,0,83.33,NA
