"","genotype","dead_percent","dead_se","healthy_percent","healthy_se","bleached_percent","bleached_se","pale_percent","pale_se","diseased_percent","diseased_se","thermstressed_percent","thermstressed_se"
"1","ACER01",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"2","ACER02",100,0,0,0,0,0,0,0,0,0,0,0
"3","ACER03",100,0,0,0,0,0,0,0,0,0,0,0
"4","ACER04",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"5","ACER05",100,0,0,0,0,0,0,0,0,0,0,0
"6","ACER06",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"7","ACER07",30.4347826086957,NA,69.5652173913043,NA,0,NA,0,NA,0,NA,0,NA
"8","ACER08",91.0714285714286,8.92857142857143,0,0,0,0,8.92857142857143,8.92857142857143,0,0,8.92857142857143,8.92857142857143
"9","ACER09",100,0,0,0,0,0,0,0,0,0,0,0
"10","ACER10",92.3076923076923,NA,3.84615384615385,NA,0,NA,0,NA,3.84615384615385,NA,0,NA
"11","ACER11",79.5454545454545,4.54545454545455,20.4545454545455,4.54545454545455,0,0,0,0,0,0,0,0
"12","APAL01",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"13","APAL03",14.2857142857143,NA,42.8571428571429,NA,0,NA,42.8571428571429,NA,0,NA,42.8571428571429,NA
"14","APAL05",100,0,0,0,0,0,0,0,0,0,0,0
"15","APAL06",73.6842105263158,NA,26.3157894736842,NA,0,NA,0,NA,0,NA,0,NA
"16","APAL09",74.2424242424242,NA,25.7575757575758,NA,0,NA,0,NA,0,NA,0,NA
"17","APAL10",21.2337662337662,3.05194805194805,76.6233766233766,5.1948051948052,0,0,2.14285714285714,2.14285714285714,0,0,2.14285714285714,2.14285714285714
"18","APAL11",58.8235294117647,NA,33.3333333333333,NA,0,NA,5.88235294117647,NA,1.96078431372549,NA,5.88235294117647,NA
"19","APAL12",11.7647058823529,NA,88.2352941176471,NA,0,NA,0,NA,0,NA,0,NA
"20","APAL13",53.1758056758057,22.7151490768327,46.8241943241943,22.7151490768327,0,0,0,0,0,0,0,0
"21","APAL14",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"22","APAL16",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"23","APAL18",84,NA,0,NA,0,NA,16,NA,0,NA,16,NA
"24","APAL23",75,NA,25,NA,0,NA,0,NA,0,NA,0,NA
"25","APAL24",20,NA,50,NA,0,NA,30,NA,0,NA,30,NA
"26","APAL25",75,NA,25,NA,0,NA,0,NA,0,NA,0,NA
"27","APAL26",96.969696969697,NA,0,NA,3.03030303030303,NA,0,NA,0,NA,3.03030303030303,NA
"28","APAL31",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"29","APAL35",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"30","APAL36",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"31","APAL37",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"32","APAL38",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"33","APAL39",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"34","APAL40",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"35","APAL41",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"36","APAL42",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"37","APAL43",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"38","APRO01",56.5217391304348,NA,34.7826086956522,NA,0,NA,8.69565217391304,NA,0,NA,8.69565217391304,NA
"39","APRO03",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"40","APRO04",94.7527472527473,2.15404004135917,5.24725274725275,2.15404004135917,0,0,0,0,0,0,0,0
"41","APRO05",1.66666666666667,18.3333333333333,98.3333333333333,18.3333333333333,0,0,0,0,0,0,0,0
"42","APRO06",96.4539007092199,3.54609929078014,3.54609929078014,3.54609929078014,0,0,0,0,0,0,0,0
"43","APRO07",52.6315789473684,NA,47.3684210526316,NA,0,NA,0,NA,0,NA,0,NA
"44","APRO10",31.25,NA,68.75,NA,0,NA,0,NA,0,NA,0,NA
"45","APRO13",100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
