"genotype","mean_infection"
"ACER01",0
"ACER02",0.0142857142857143
"ACER03",0.0333333333333333
"ACER04",0
"ACER05",0.223949579831933
"ACER06",0
"ACER07",0.00148809523809524
"ACER08",0.00470588235294118
"ACER09",0.129959415207553
"ACER10",0.0625
"ACER11",0.0461145996860283
"ACER12",0.00925925925925926
"APAL01",0
"APAL02",0
"APAL03",0
"APAL05",0.0446428571428571
"APAL06",0
"APAL07",0
"APAL08",0.166666666666667
"APAL09",0.00378787878787879
"APAL10",0.0131217111535762
"APAL11",0.0144903466078745
"APAL12",0
"APAL13",0.00963593129459396
"APAL14",0.203333333333333
"APAL15",0
"APAL16",0.0625
"APAL17",0
"APAL18",0.00757532281205165
"APAL19",0.00297619047619048
"APAL20",0.0280612244897959
"APAL21",0
"APAL22",0
"APAL23",0.0274509803921569
"APAL24",0
"APAL25",0
"APAL26",0
"APAL31",0
"APAL32",0
"APAL33",0
"APAL34",0.00606060606060606
"APAL35",0
"APAL36",0
"APAL37",0.0111111111111111
"APAL38",0
"APAL39",0.0159574468085106
"APAL40",0
"APAL41",0
"APAL42",0
"APAL43",0
"APAL44",0
"APAL46",0.130882740447958
"APAL48",0.00321769733534439
"APAL49",0
"APAL50",0.0810172872340426
"APAL51",0.00824175824175824
"APAL52",0.00392156862745098
"APAL53",0.00299056820795951
"APAL54",0
"APAL57",0.00632539791752672
"APAL58",0.0153400276351096
"APAL59",0.00748338590740092
"APAL60",0.00240443317366394
"APAL61",0
"APAL62",0
"APAL63",0
"APAL64",0
"APRO01",0
"APRO03",0
"APRO04",0.030274199843872
"APRO05",0.0264354418440647
"APRO06",0.025879917184265
"APRO07",0.001953125
"APRO08",0.00464623995407577
"APRO10",0.00737599114881062
"APRO13",0
"APRO14",0
"CNAT01",0.0104475703324808
"CNAT02",0
"CNAT03",0.0286195286195286
"CNAT04",0
"DCYL01",0.0316650016650017
"DLAB01",0.0882523791867507
"DLAB02",0.0743589743589744
"DLAB03",0.155555555555556
"DLAB04",0.0888888888888889
"DLAB05",0.180555555555556
"MCAV01",0.0740709617180205
"MCAV02",0.0123456790123457
"OANN01",0
"OANN02",0
"OANN03",0
"OANN04",0
"OANN05",0
"OANN06",0
"OANN07",0
"OANN08",0.00384615384615385
"OANN09",0
"OANN10",0
"OANN11",0
"OANN12",0
"OFAV01",0
"OFAV02",0.00266666666666667
"OFAV03",0
"OFAV04",0
"OFAV05",0
"OFAV06",0.00925925925925926
"OFAV07",0
"OFAV08",0
"OFAV09",0
"OFAV10",0
"OFRA01",0
"PCLI01",0.0128205128205128
"PCLI02",0
"PCLI03",0
"PCLI04",0.0545454545454545
"PDIV01",0
"PFUR01",0.00350877192982456
"PFUR02",0
"PFUR03",0
"PSTR01",0
"PSTR02",0.00256410256410256
"PSTR03",0
"PSTR04",0
"PSTR05",0.0347222222222222
"PSTR06",0
"PSTR07",0
"PSTR08",0
"PSTR09",0
"PSTR10",0
"PSTR11",0
