"genotype","n_tot_alive","n_healthy","n_diseased","n_pale","n_bleached","n_dead_rel_baseline","p_healthy","p_diseased","p_pale","p_bleached","p_healthy_bl","p_diseased_bl","p_pale_bl","p_bleached_bl","p_dead_bl","p_survival_bl"
"ACER07",47,17,0,30,0,1,36.1702127659575,0,63.8297872340426,0,35.4166666666667,0,62.5,0,2.08333333333333,97.9166666666667
"ACER08",26,4,0,7,15,-1,15.3846153846154,0,26.9230769230769,57.6923076923077,16,0,28,60,-4,104
"ACER10",3,3,0,0,0,1,100,0,0,0,75,0,0,0,25,75
"ACER12",38,23,0,15,0,5,60.5263157894737,0,39.4736842105263,0,53.4883720930233,0,34.8837209302326,0,11.6279069767442,88.3720930232558
"APAL03",10,0,0,10,0,-6,0,0,100,0,0,0,250,0,-150,250
"APAL06",2,0,0,2,0,4,0,0,100,0,0,0,33.3333333333333,0,66.6666666666667,33.3333333333333
"APAL10",109,36,0,73,0,16,33.0275229357798,0,66.9724770642202,0,28.8,0,58.4,0,12.8,87.2
"APAL11",31,12,0,19,0,-24,38.7096774193548,0,61.2903225806452,0,171.428571428571,0,271.428571428571,0,-342.857142857143,442.857142857143
"APAL12",30,19,0,9,2,11,63.3333333333333,0,30,6.66666666666667,46.3414634146341,0,21.9512195121951,4.8780487804878,26.8292682926829,73.1707317073171
"APAL13",124,71,0,53,0,7,57.258064516129,0,42.741935483871,0,54.1984732824427,0,40.4580152671756,0,5.34351145038168,94.6564885496183
"APAL15",20,0,0,20,0,4,0,0,100,0,0,0,83.3333333333333,0,16.6666666666667,83.3333333333333
"APAL16",4,4,0,0,0,NA,100,0,0,0,NA,NA,NA,NA,NA,NA
"APAL18",7,7,0,0,0,0,100,0,0,0,100,0,0,0,0,100
"APAL20",3,3,0,0,0,4,100,0,0,0,42.8571428571429,0,0,0,57.1428571428571,42.8571428571429
"APAL21",1,0,0,1,0,0,0,0,100,0,0,0,100,0,0,100
"APAL23",3,1,0,2,0,6,33.3333333333333,0,66.6666666666667,0,11.1111111111111,0,22.2222222222222,0,66.6666666666667,33.3333333333333
"APAL24",12,7,0,5,0,4,58.3333333333333,0,41.6666666666667,0,43.75,0,31.25,0,25,75
"APAL25",39,16,0,23,0,14,41.025641025641,0,58.974358974359,0,30.188679245283,0,43.3962264150943,0,26.4150943396226,73.5849056603774
"APAL33",16,13,0,3,0,4,81.25,0,18.75,0,65,0,15,0,20,80
"APAL37",2,2,0,0,0,1,100,0,0,0,66.6666666666667,0,0,0,33.3333333333333,66.6666666666667
"APAL44",1,0,0,1,0,0,0,0,100,0,0,0,100,0,0,100
"APAL46",28,2,6,20,0,-1,7.14285714285714,21.4285714285714,71.4285714285714,0,7.40740740740741,22.2222222222222,74.0740740740741,0,-3.7037037037037,103.703703703704
"APAL48",36,31,0,5,0,8,86.1111111111111,0,13.8888888888889,0,70.4545454545455,0,11.3636363636364,0,18.1818181818182,81.8181818181818
"APAL49",54,38,0,16,0,5,70.3703703703704,0,29.6296296296296,0,64.4067796610169,0,27.1186440677966,0,8.47457627118644,91.5254237288136
"APAL50",37,0,0,37,0,7,0,0,100,0,0,0,84.0909090909091,0,15.9090909090909,84.0909090909091
"APAL51",20,14,0,6,0,36,70,0,30,0,25,0,10.7142857142857,0,64.2857142857143,35.7142857142857
"APAL52",36,24,0,12,0,-6,66.6666666666667,0,33.3333333333333,0,80,0,40,0,-20,120
"APAL53",63,59,0,4,0,1,93.6507936507936,0,6.34920634920635,0,92.1875,0,6.25,0,1.5625,98.4375
"APAL54",51,47,0,4,0,8,92.156862745098,0,7.84313725490196,0,79.6610169491525,0,6.77966101694915,0,13.5593220338983,86.4406779661017
"APAL57",25,2,0,23,0,9,8,0,92,0,5.88235294117647,0,67.6470588235294,0,26.4705882352941,73.5294117647059
"APAL58",30,14,0,12,4,10,46.6666666666667,0,40,13.3333333333333,35,0,30,10,25,75
"APAL59",4,0,0,4,0,30,0,0,100,0,0,0,11.7647058823529,0,88.2352941176471,11.7647058823529
"APAL60",59,0,0,57,2,10,0,0,96.6101694915254,3.38983050847458,0,0,82.6086956521739,2.89855072463768,14.4927536231884,85.5072463768116
"APAL61",68,0,0,0,68,0,0,0,0,100,0,0,0,100,0,100
"APAL62",63,0,0,0,63,4,0,0,0,100,0,0,0,94.0298507462687,5.97014925373134,94.0298507462687
"APAL63",58,0,0,58,0,2,0,0,100,0,0,0,96.6666666666667,0,3.33333333333333,96.6666666666667
"APAL64",28,0,0,0,28,0,0,0,0,100,0,0,0,100,0,100
"APRO01",36,21,0,15,0,-3,58.3333333333333,0,41.6666666666667,0,63.6363636363636,0,45.4545454545455,0,-9.09090909090909,109.090909090909
"APRO04",4,4,0,0,0,33,100,0,0,0,10.8108108108108,0,0,0,89.1891891891892,10.8108108108108
"APRO05",183,129,0,53,1,-107,70.4918032786885,0,28.9617486338798,0.546448087431694,169.736842105263,0,69.7368421052632,1.31578947368421,-140.789473684211,240.789473684211
"APRO07",39,4,0,35,0,3,10.2564102564103,0,89.7435897435898,0,9.52380952380952,0,83.3333333333333,0,7.14285714285714,92.8571428571429
"APRO08",63,4,0,59,0,0,6.34920634920635,0,93.6507936507936,0,6.34920634920635,0,93.6507936507936,0,0,100
"APRO10",28,4,0,23,0,0,14.2857142857143,0,82.1428571428571,0,14.2857142857143,0,82.1428571428571,0,0,100
"APRO14",7,7,0,0,0,NA,100,0,0,0,NA,NA,NA,NA,NA,NA
"CNAT01",23,22,1,0,0,11,95.6521739130435,4.34782608695652,0,0,64.7058823529412,2.94117647058824,0,0,32.3529411764706,67.6470588235294
"CNAT02",3,0,0,0,3,0,0,0,0,100,0,0,0,100,0,100
"CNAT03",9,9,0,0,0,3,100,0,0,0,75,0,0,0,25,75
"CNAT04",28,28,0,0,0,1,100,0,0,0,96.551724137931,0,0,0,3.44827586206897,96.551724137931
"DCYL01",7,7,0,0,0,4,100,0,0,0,63.6363636363636,0,0,0,36.3636363636364,63.6363636363636
"DLAB01",6,6,0,0,0,3,100,0,0,0,66.6666666666667,0,0,0,33.3333333333333,66.6666666666667
"DLAB02",7,0,0,1,6,5,0,0,14.2857142857143,85.7142857142857,0,0,8.33333333333333,50,41.6666666666667,58.3333333333333
"DLAB03",5,0,0,0,5,15,0,0,0,100,0,0,0,25,75,25
"DLAB04",6,0,0,0,6,4,0,0,0,100,0,0,0,60,40,60
"DLAB05",3,3,0,0,0,13,100,0,0,0,18.75,0,0,0,81.25,18.75
"MCAV01",9,9,0,0,0,6,100,0,0,0,60,0,0,0,40,60
"MCAV02",8,8,0,0,0,1,100,0,0,0,88.8888888888889,0,0,0,11.1111111111111,88.8888888888889
"OANN01",20,16,0,4,0,0,80,0,20,0,80,0,20,0,0,100
"OANN02",15,9,0,6,0,0,60,0,40,0,60,0,40,0,0,100
"OANN03",19,0,0,19,0,1,0,0,100,0,0,0,95,0,5,95
"OANN04",14,4,0,10,0,0,28.5714285714286,0,71.4285714285714,0,28.5714285714286,0,71.4285714285714,0,0,100
"OANN05",13,0,0,13,0,0,0,0,100,0,0,0,100,0,0,100
"OANN06",6,0,0,6,0,0,0,0,100,0,0,0,100,0,0,100
"OANN08",49,32,0,16,1,3,65.3061224489796,0,32.6530612244898,2.04081632653061,61.5384615384615,0,30.7692307692308,1.92307692307692,5.76923076923077,94.2307692307692
"OANN09",46,18,0,28,0,-1,39.1304347826087,0,60.8695652173913,0,40,0,62.2222222222222,0,-2.22222222222222,102.222222222222
"OANN10",6,0,0,6,0,16,0,0,100,0,0,0,27.2727272727273,0,72.7272727272727,27.2727272727273
"OANN11",98,0,0,98,0,-15,0,0,100,0,0,0,118.072289156627,0,-18.0722891566265,118.072289156627
"OANN12",84,0,0,84,0,-13,0,0,100,0,0,0,118.30985915493,0,-18.3098591549296,118.30985915493
"OFAV01",8,0,0,6,2,0,0,0,75,25,0,0,75,25,0,100
"OFAV02",21,0,0,21,0,0,0,0,100,0,0,0,100,0,0,100
"OFAV03",19,0,0,18,1,0,0,0,94.7368421052632,5.26315789473684,0,0,94.7368421052632,5.26315789473684,0,100
"OFAV04",7,0,0,7,0,2,0,0,100,0,0,0,77.7777777777778,0,22.2222222222222,77.7777777777778
"OFAV06",12,0,0,12,0,0,0,0,100,0,0,0,100,0,0,100
"OFAV07",37,37,0,0,0,19,100,0,0,0,66.0714285714286,0,0,0,33.9285714285714,66.0714285714286
"OFAV08",39,34,0,5,0,0,87.1794871794872,0,12.8205128205128,0,87.1794871794872,0,12.8205128205128,0,0,100
"OFAV09",48,48,0,0,0,0,100,0,0,0,100,0,0,0,0,100
"OFAV10",38,0,0,38,0,0,0,0,100,0,0,0,100,0,0,100
"OFRA01",14,7,0,7,0,-8,50,0,50,0,116.666666666667,0,116.666666666667,0,-133.333333333333,233.333333333333
"PCLI01",2,2,0,0,0,4,100,0,0,0,33.3333333333333,0,0,0,66.6666666666667,33.3333333333333
"PCLI02",6,6,0,0,0,0,100,0,0,0,100,0,0,0,0,100
"PCLI03",3,3,0,0,0,3,100,0,0,0,50,0,0,0,50,50
"PCLI04",6,0,0,6,0,11,0,0,100,0,0,0,35.2941176470588,0,64.7058823529412,35.2941176470588
"PDIV01",22,22,0,0,0,0,100,0,0,0,100,0,0,0,0,100
"PFUR01",19,0,0,0,19,0,0,0,0,100,0,0,0,100,0,100
"PFUR02",3,0,0,0,3,2,0,0,0,100,0,0,0,60,40,60
"PSTR01",48,0,0,2,46,-4,0,0,4.16666666666667,95.8333333333333,0,0,4.54545454545455,104.545454545455,-9.09090909090909,109.090909090909
