"genotype","collection_date","collection_site","collection_lat","collection_lon","york_locations","tpb_locations","gb_location","active"
"ACER01",2021-07-19,"Exchange Bay",17.0423,-61.68254,"","","","N"
"ACER02",2021-07-20,"Cervi Heaven",17.07555,-61.6678,"","","","N"
"ACER03",2021-07-21,"Little Bird Channel",17.16702,-61.72996,"","","","N"
"ACER04",2021-07-21,"Little Bird Channel",17.16514,-61.73107,"","","","N"
"ACER05",2021-07-21,"Little Bird Channel",17.16578,-61.73129,"","","","N"
"ACER06",2021-07-21,"Great Bird",17.14907,-61.72346,"","","","N"
"ACER07",2021-07-21,"Hells Gate",17.13977,-61.72128,"F3, C8","","York_D1","Y"
"ACER08",2021-07-22,"Man of War",17.0655,-61.66287,"E3","","York_D1","Y"
"ACER09",2021-07-28,"Hells Gate",17.14007,-61.7209,"","","","N"
"ACER10",2023-03-24,"Indian Creek",17.002958,-61.737524,"","","York_D1","Y"
"ACER11",2021-11-10,"Hells Gate",17.140118,-61.721773,"","","York_D1","Y"
"ACER12",2024-02-04,"Bird island west",17.147828,-61.726719,"C8","","York_D1","Y"
"APAL01",2021-07-19,"Friar's Head",17.04817,-61.67191,"","","","N"
"APAL02",2021-07-20,"North Green",17.08215,-61.66522,"","","","N"
"APAL03",2021-07-20,"North Green",17.08195,-61.6652,"D3","","York_F1","Y"
"APAL04",2021-07-20,"North Green",17.07683333,-61.66358333,"","","","N"
"APAL05",2021-07-20,"North Green",17.07663333,-61.6627,"","","","N"
"APAL06",2021-07-20,"North Green",17.07516667,-61.66471667,"E9","","York_F1","Y"
"APAL07",2021-07-20,"North Green",17.07463333,-61.66496667,"","","","N"
"APAL08",2021-07-21,"Little Bird Channel",17.166993,-61.730005,"","","","N"
"APAL09",2021-07-21,"Little Bird Channel",17.16488,-61.73041,"","","","N"
"APAL10",2021-07-21,"Great Bird",17.14898,-61.72344,"C7","B5, A8","York_F1","Y"
"APAL11",2021-07-21,"Hells Gate",17.14121,-61.7214,"D7","","York_F1","Y"
"APAL12",2021-07-21,"Hells Gate",17.13962,-61.72119,"D9","B7","York_F1","Y"
"APAL13",2021-07-22,"Man of War",17.065383,-61.662417,"C3, F6, D9","A1","York_F1","Y"
"APAL14",2021-07-22,"Man of War",17.06577,-61.66278,"","","","N"
"APAL15",2021-07-27,"York Island",17.05256,-61.66769,"E9","","York_F1","Y"
"APAL16",2021-07-27,"York Island",17.05228,-61.66991,"","","","N"
"APAL17",2021-07-27,"Hells Gate",17.14219,-61.7216,"","","","N"
"APAL18",2021-07-27,"Hells Gate",17.1406,-61.7211,"E9","","York_F1","Y"
"APAL19",2021-07-27,"Hells Gate",17.13997,-61.72181,"","","","N"
"APAL20",2021-07-27,"Hells Gate",17.13969,-61.72385,"E9","","York_F1","Y"
"APAL21",2021-07-27,"Great Bird",17.148231,-61.723195,"","","York_F1","Y"
"APAL22",2021-07-27,"Great Bird",17.147896,-61.723116,"","","","N"
"APAL23",2021-07-27,"Great Bird",17.14703,-61.72286,"C2","","York_F1","Y"
"APAL24",2021-11-02,"Hells Gate",17.139911,-61.721393,"","A1","York_F1","Y"
"APAL26",2021-11-03,"Man of War",17.06555,-61.662967,"","","","N"
"APAL28",2021-11-10,"South Hells Gate",17.137205,-61.719345,"","","","N"
"APAL29",2022-10-22,"Great Bird",NA,NA,"","","","N"
"APAL30",2022-10-22,"Great Bird",17.155647,-61.741375,"","","","N"
"APAL31",2023-03-24,"Indian Creek",17.002581,-61.737383,"","","","N"
"APAL32",2023-03-24,"Snapper Point",17.002317,-61.768607,"","","","N"
"APAL33",2023-03-24,"Snapper Point",17.002368,-61.768481,"E9","","York_F1","Y"
"APAL34",2023-03-24,"Indian Creek",17.002394,-61.737698,"","","","N"
