"updated","genotype","active","productive","collection_date","collection_site","collection_lat","collection_lon","york_locations","tpb_locations","cades_locations","jumby_locations","gb_locations","n_frags","n_outplanted","n_outplants","outplant_survival"
2025-10-06,"ACER01","N","N",2021-07-19,"Exchange Bay","17.0423","-61.68254","","","","","",0,0,0,NA
2025-10-06,"ACER02","N","N",2021-07-20,"Cervi Heaven","17.07555","-61.6678","","","","","",0,0,0,NA
2025-10-06,"ACER03","N","N",2021-07-21,"Little Bird Channel","17.16702","-61.72996","","","","","",0,0,0,NA
2025-10-06,"ACER04","N","N",2021-07-21,"Little Bird Channel","17.16514","-61.73107","","","","","",0,0,0,NA
2025-10-06,"ACER05","N","N",2021-07-21,"Little Bird Channel","17.16578","-61.73129","","","","","",0,0,0,NA
2025-10-06,"ACER06","N","N",2021-07-21,"Great Bird","17.14907","-61.72346","","","","","",0,0,0,NA
2025-10-06,"ACER07","Y","Y",2021-07-21,"Hells Gate","17.13977","-61.72128","C8, F3","","B1","E5, E7","Cades_A2, York_E1",160,0,0,NA
2025-10-06,"ACER08","N","N",2021-07-22,"Man Of War","17.0655","-61.66287","","","","","",0,0,0,NA
2025-10-06,"ACER09","N","N",2021-07-28,"Hells Gate","17.14007","-61.7209","","","","","",0,0,0,NA
2025-10-06,"ACER10","N","N",2023-03-24,"Indian Creek","17.002958","-61.737524","","","","","",0,0,0,NA
2025-10-06,"ACER11","N","N",2021-11-10,"Hells Gate","17.140118","-61.721773","","","","","",0,0,0,NA
2025-10-06,"ACER12","Y","Y",2024-02-04,"Bird Island West","17.147828","-61.726719","C8","","","E2","Cades_A2, York_E1",54,5,5,1
2025-10-06,"APAL01","N","N",2021-07-19,"Friar's Head","17.04817","-61.67191","","","","","",0,0,0,NA
2025-10-06,"APAL02","N","N",2021-07-20,"North Green","17.08215","-61.66522","","","","","",0,0,0,NA
2025-10-06,"APAL03","Y","Y",2021-07-20,"North Green","17.08195","-61.6652","D3","","","","York_F1",8,0,0,NA
2025-10-06,"APAL04","N","N",2021-07-20,"North Green","17.076833","-61.663583","","","","","",0,0,0,NA
2025-10-06,"APAL05","N","N",2021-07-20,"North Green","17.076633","-61.6627","","","","","",0,0,0,NA
2025-10-06,"APAL06","Y","N",2021-07-20,"North Green","17.075167","-61.664717","","","","","York_F1",4,0,0,NA
2025-10-06,"APAL07","N","N",2021-07-20,"North Green","17.074633","-61.664967","","","","","",0,0,0,NA
2025-10-06,"APAL08","N","N",2021-07-21,"Little Bird Channel","17.166993","-61.730005","","","","","",0,0,0,NA
2025-10-06,"APAL09","N","N",2021-07-21,"Little Bird Channel","17.16488","-61.73041","","","","","",0,0,0,NA
2025-10-06,"APAL10","Y","Y",2021-07-21,"Great Bird","17.14898","-61.72344","C5, C7","B5, A8","","","York_F1",110,0,0,NA
2025-10-06,"APAL11","Y","Y",2021-07-21,"Hells Gate","17.14121","-61.7214","D7","","","","York_F1",6,0,0,NA
2025-10-06,"APAL12","Y","Y",2021-07-21,"Hells Gate","17.13962","-61.72119","D9","B7","","","Cades_A2, York_F1",23,0,0,NA
2025-10-06,"APAL13","Y","Y",2021-07-22,"Man Of War","17.065383","-61.662417","C3, D9, F6","A1","","","Cades_A2, York_F1",160,3,3,1
2025-10-06,"APAL14","N","N",2021-07-22,"Man Of War","17.06577","-61.66278","","","","","",0,0,0,NA
2025-10-06,"APAL15","Y","Y",2021-07-27,"York Island","17.05256","-61.66769","E9","","","B4","York_F1",61,3,3,1
2025-10-06,"APAL16","N","N",2021-07-27,"York Island","17.05228","-61.66991","","","","","",0,0,0,NA
2025-10-06,"APAL17","N","N",2021-07-27,"Hells Gate","17.14219","-61.7216","","","","","",0,0,0,NA
2025-10-06,"APAL18","Y","N",2021-07-27,"Hells Gate","17.1406","-61.7211","","","","","York_F1",3,0,0,NA
2025-10-06,"APAL19","N","N",2021-07-27,"Hells Gate","17.13997","-61.72181","","","","","",0,0,0,NA
2025-10-06,"APAL20","Y","N",2021-07-27,"Hells Gate","17.13969","-61.72385","","","","","York_F1",1,0,0,NA
2025-10-06,"APAL21","N","N",2021-07-27,"Great Bird","17.148231","-61.723195","","","","","",0,0,0,NA
2025-10-06,"APAL22","N","N",2021-07-27,"Great Bird","17.147896","-61.723116","","","","","",0,0,0,NA
2025-10-06,"APAL23","Y","N",2021-07-27,"Great Bird","17.14703","-61.72286","","","","","York_F1",1,0,0,NA
2025-10-06,"APAL24","Y","Y",2021-11-02,"Hells Gate","17.139911","-61.721393","","A1","","","York_F1",9,0,0,NA
2025-10-06,"APAL25","Y","Y",2021-11-03,"Hells Gate","17.148982","-61.723447","D7, E8","A2, ST","","","Cades_A2",68,6,6,1
2025-10-06,"APAL26","N","N",2021-11-03,"Man Of War","17.06555","-61.662967","","","","","",0,0,0,NA
2025-10-06,"APAL27","N","N",2022-10-10,"Great Bird","17.148844","-61.723506","","","","","",0,0,0,NA
2025-10-06,"APAL28","N","N",2021-11-10,"South Hells Gate","17.137205","-61.719345","","","","","",0,0,0,NA
2025-10-06,"APAL29","N","N",2022-10-10,"Great Bird","17.147643","-61.72302","","","","","",0,0,0,NA
2025-10-06,"APAL30","N","N",2022-10-10,"Great Bird","17.155647","-61.741375","","","","","",0,0,0,NA
2025-10-06,"APAL31","N","N",2023-03-24,"Indian Creek","17.002581","-61.737383","","","","","",0,0,0,NA
2025-10-06,"APAL32","N","N",2023-03-24,"Snapper Point","17.002317","-61.768607","","","","","",0,0,0,NA
2025-10-06,"APAL33","Y","Y",2023-03-24,"Snapper Point","17.002368","-61.768481","E9","","","","York_F1",15,9,9,1
2025-10-06,"APAL34","N","N",2023-03-24,"Indian Creek","17.002394","-61.737698","","","","","",0,0,0,NA
2025-10-06,"APAL35","N","N",2023-04-12,"Snapper Point","17.002914","-61.767806","","","","","",0,0,0,NA
2025-10-06,"APAL36","N","N",2023-04-12,"Snapper Point","17.003621","-61.766183","","","","","",0,0,0,NA
2025-10-06,"APAL37","Y","N",2023-04-12,"Snapper Point","17.003168","-61.766941","","","","","York_F1",4,0,0,NA
2025-10-06,"APAL38","N","N",2023-04-12,"Pillars Of Hercules","17.001575","-61.761613","","","","","",0,0,0,NA
2025-10-06,"APAL39","N","N",2023-04-18,"Devil's Bridge","17.102275","-61.677369","","","","","",0,0,0,NA
2025-10-06,"APAL40","N","N",2023-04-18,"Seatons Mount","17.11409","-61.694696","","","","","",0,0,0,NA
2025-10-06,"APAL41","N","N",2023-04-18,"Seatons Mount","17.114394","-61.695376","","","","","",0,0,0,NA
2025-10-06,"APAL42","N","N",2023-04-20,"Seatons Mount","17.114915","-61.694751","","","","","",0,0,0,NA
2025-10-06,"APAL43","N","N",2023-04-20,"The Cut","17.092099","-61.673054","","","","","",0,0,0,NA
2025-10-06,"APAL44","N","N",2023-04-20,"The Cut","17.09219","-61.673325","","","","","",0,0,0,NA
2025-10-06,"APAL45","N","N",2024-02-20,"Seatons","17.11901","-61.71073","","","","","",0,0,0,NA
2025-10-06,"APAL46","Y","Y",2024-02-20,"Seatons","17.11917","-61.71071","E7","","","","York_F1",16,9,7,0.777777777777778
2025-10-06,"APAL47","N","N",2024-02-20,"Seatons","17.11394","-61.70767","","","","","",0,0,0,NA
2025-10-06,"APAL48","Y","Y",2024-02-20,"Seatons","17.11394","-61.7073","F7","","","","Cades_A2, York_F1",39,3,3,1
2025-10-06,"APAL49","Y","Y",2024-01-13,"Great Bird","17.147692","-61.722964","F8","","","","Cades_A2, York_F1",46,12,12,1
2025-10-06,"APAL50","Y","Y",2024-01-13,"Great Bird","17.147024","-61.72304","F9","","","","Cades_A2, York_F1",39,6,6,1
2025-10-06,"APAL51","Y","Y",2024-01-13,"Great Bird","17.146803","-61.723016","C6","","","","Cades_A2, York_F1",20,3,3,1
2025-10-06,"APAL52","Y","Y",2024-01-14,"Hells Gate","17.141192","-61.721318","D8","","","","Cades_A2, York_G1",25,0,0,NA
2025-10-06,"APAL53","Y","Y",2024-01-14,"Hells Gate","17.141968","-61.720936","C8, C9","","","B2","Cades_A2, York_G1",207,0,0,NA
2025-10-06,"APAL54","Y","Y",2024-01-14,"Hells Gate","17.14093","-61.721243","D8","","","B4","Cades_A2, York_G1",72,6,4,0.666666666666667
2025-10-06,"APAL57","Y","Y",2024-03-20,"Seatons Mount","17.11453","-61.70122","C6","","","","Cades_A2, York_G1",15,0,0,NA
2025-10-06,"APAL58","Y","Y",2024-03-20,"Seatons Mount","17.11436","-61.70119","D6","","","","York_G1",11,9,9,1
2025-10-06,"APAL59","Y","Y",2024-03-20,"Seatons Mount","17.11431","-61.70153","E7","","","","York_G1",25,0,0,NA
2025-10-06,"APAL60","Y","Y",2024-03-20,"Seatons Mount","17.11503","-61.70107","D5","","","","Cades_A2, York_G1",40,3,3,1
2025-10-06,"APAL61","Y","Y",2024-05-15,"Cades Reef","17.00606","-61.85783","","","B3","","",36,9,9,1
2025-10-06,"APAL62","Y","Y",2024-05-15,"Cades Reef","17.00578","-61.85815","","","B2, A3","","",48,0,0,NA
2025-10-06,"APAL63","Y","N",2024-05-15,"Cades Reef","17.00567","-61.86065","","","","","York_G1",4,0,0,NA
2025-10-06,"APAL64","N","N",2024-05-21,"Cades Reef","17.005054","-61.865684","","","","","",0,0,0,NA
2025-10-06,"APAL65","Y","Y",2025-04-19,"Spithead","17.096963","-61.675173","D6","","","","",32,0,0,NA
2025-10-06,"APAL66","Y","Y",2025-04-19,"Spithead","17.096595","-61.674697","D9","","","","York_G1",31,0,0,NA
2025-10-06,"APAL67","N","N",2025-04-25,"Cades Reef","17.005325","-61.865684","","","","","",0,0,0,NA
2025-10-06,"APAL68","Y","Y",2025-04-25,"Cades Reef","17.0056","-61.86165","","","A3","","",27,0,0,NA
2025-10-06,"APAL69","Y","Y",2025-04-25,"Cades Reef","17.00513","-61.86071","","","B2","","",28,0,0,NA
2025-10-06,"APAL70","Y","Y",2025-05-08,"Seatons Reef","17.12034","-61.703809","E9","","","","York_G1",16,0,0,NA
2025-10-06,"APAL71","Y","Y",2025-05-08,"Seatons Reef","17.118716","-61.704294","E7","","","","York_G1",27,0,0,NA
2025-10-06,"APAL72","Y","Y",2025-05-08,"Seatons Mount","17.114072","-61.694647","C6","","","","York_G1",38,0,0,NA
2025-10-06,"APAL73","Y","N",2025-05-08,"Seatons Mount","17.11427","-61.695401","","","","","York_G1",4,0,0,NA
2025-10-06,"APAL74","Y","Y",2025-05-09,"Seatons Reef","17.112527","-61.688605","E8","","","","York_G1",58,0,0,NA
2025-10-06,"APAL75","Y","Y",2025-05-09,"Seatons Reef","17.112379","-61.688569","F7","","","","York_G1",42,0,0,NA
2025-10-06,"APAL76","Y","Y",2025-05-09,"Seatons Reef","17.112074","-61.688852","F9","","","","York_G1",34,0,0,NA
2025-10-06,"APAL77","Y","Y",2025-06-19,"Hells Gate","17.141583","-61.721155","","","","B1","",67,0,0,NA
2025-10-06,"APAL78","N","N",2023-04-20,"Seatons Mount","17.114402","-61.69426","","","","","",0,0,0,NA
2025-10-06,"APRO01","Y","Y",2021-07-20,"North Green","17.074667","-61.664867","F2","","","E3","York_E1",62,0,0,NA
2025-10-06,"APRO02","N","N",2021-07-21,"Little Bird Channel","17.16483","-61.73036","","","","","",0,0,0,NA
2025-10-06,"APRO03","N","N",2021-07-21,"Hells Gate","17.14175","-61.72192","","","","","",0,0,0,NA
2025-10-06,"APRO04","Y","N",2021-07-21,"Hells Gate","17.140289","-61.721907","","","","","York_E1",4,3,3,1
2025-10-06,"APRO05","Y","Y",2021-07-22,"Man Of War","17.06586","-61.6627","C4, E6","B9, A6, A10","A1","E6, E8","York_E1",311,10,10,1
2025-10-06,"APRO06","N","N",2021-07-28,"Hells Gate","17.14029","-61.72078","","","","","",0,0,0,NA
2025-10-06,"APRO07","Y","Y",2021-07-28,"Great Bird","17.14704","-61.72285","E2","","","","York_E1",20,0,0,NA
2025-10-06,"APRO08","Y","Y",2024-03-20,"Seatons Mount","17.11514","-61.70115","C5","","","E1, E4","Cades_A2, York_E1",155,0,0,NA
2025-10-06,"APRO10","Y","Y",2023-04-20,"The Cut","17.092099","-61.673054","D2","","","","York_E1",18,3,3,1
2025-10-06,"APRO11","N","N",2021-11-10,"South Hells Gate","17.13665","-61.721875","","","","","",0,0,0,NA
2025-10-06,"APRO13","N","N",2022-01-25,"North Green","17.090857","-61.674076","","","","","",0,0,0,NA
2025-10-06,"APRO14","Y","Y",2024-02-04,"Little Bird Island West","17.155532","-61.743487","","ST","","","",0,0,0,NA
2025-10-06,"APRO15","Y","Y",2025-04-19,"Spithead","17.095214","-61.673811","D7","","","","",26,0,0,NA
2025-10-06,"APRO16","N","N",2025-04-25,"Sandy Island","17.134851","-61.928907","","","","","",0,0,0,NA
2025-10-06,"APRO17","Y","Y",2025-06-19,"Hells Gate","17.155807","-61.741981","","","","B4, B3","",91,0,0,NA
2025-10-06,"APRO18","Y","Y",2025-04-25,"Sandy Island","17.134851","-61.928907","","","A3","","",22,0,0,NA
2025-10-06,"CNAT01","N","N",2023-02-18,"North Green","17.075836","-61.668449","","","","","",0,0,0,NA
2025-10-06,"CNAT02","N","N",2023-02-19,"Ten Pound Bay","17.067625","-61.664182","","","","","",0,0,0,NA
2025-10-06,"CNAT03","Y","Y",2024-02-04,"Bird Island West","17.147459","-61.72733","","ST","A4","","",36,0,0,NA
2025-10-06,"CNAT04","N","N",2024-06-05,"Cades Reef","17.010659","-61.867979","","","","","",0,23,4,0.173913043478261
2025-10-06,"DCYL01","N","N",2023-02-20,"Maiden Island","17.144964","-61.761182","","","","","",0,0,0,NA
2025-10-06,"DCYL02","N","N",NA,"Cades Reef",NA,NA,"","","","","",0,0,0,NA
2025-10-06,"DCYL03","Y","Y",NA,NA,NA,NA,"","","","A2","",106,0,0,NA
2025-10-06,"DLAB01","Y","Y",2023-02-18,"North Green","17.075835","-61.668515","","B2","","","",5,0,0,NA
2025-10-06,"DLAB02","Y","Y",2023-02-19,"Ten Pound Bay","17.068005","-61.664284","","B2, ST","A4","","",45,0,0,NA
2025-10-06,"DLAB03","Y","Y",2024-02-04,"Pierce Shoals","17.157526","-61.767162","","ST","","A3","",85,0,0,NA
2025-10-06,"DLAB04","Y","Y",2024-02-04,"Little Bird Island West","17.15637","-61.743637","","B2, ST","","","",3,0,0,NA
2025-10-06,"DLAB05","Y","Y",2024-02-04,"Bird Island West","17.147467","-61.727317","","A4, ST","","","",36,0,0,NA
2025-10-06,"DLAB06","Y","Y",2025-05-10,"Little Bird Island North","17.080227","-61.6708","","ST","","A2","",21,0,0,NA
2025-10-06,"DLAB07","Y","Y",2025-05-10,"Little Bird Island North","17.080466","-61.671716","","ST","","A1","",45,0,0,NA
2025-10-06,"MCAV01","N","N",2023-02-19,"Ten Pound Bay","17.067501","-61.664362","","","","","",0,0,0,NA
2025-10-06,"MCAV02","Y","Y",2024-02-04,"Pierce Shoals","17.156763","-61.768185","","B2, ST","","A1","",23,0,0,NA
