"genotype","york_locations","tpb_locations","gb_location","n_ropes","n_trees"
"ACER07","F3, C8","","York_C1",1,1
"ACER08","E3","","York_C1",1,0
"APAL03","D3","","York_F1",1,0
"APAL06","E9","","York_F1",0,1
"APAL10","C7","A8","York_F1",1,1
"APAL11","D7","","York_F1",0,1
"APAL12","D9","B7","York_F1",1,1
"APAL13","C3, D9","A1","York_F1",1,2
"APAL15","E9","","York_F1",0,1
"APAL18","E9","","York_F1",0,1
"APAL20","E9","","York_F1",0,1
"APAL23","C2","","York_F1",1,0
"APAL24","","A1","York_F1",0,1
"APAL25","E8","A2","York_F1",0,2
"APAL33","E9","","York_F1",0,1
"APAL46","E7","","",0,1
"APAL48","F7","","",0,1
"APAL49","F8","","",0,1
"APAL50","F9","","",0,1
"APAL51","D7","","",0,1
"APAL52","E8","","",0,1
"APAL53","C9","","",0,1
"APAL54","D8","","",0,1
"APRO01","F2","","York_D1",1,0
"APRO05","C4, E6","A6, B9, A10","York_D1",5,0
"APRO06","","B5","",1,0
"APRO07","E2","","York_D1",1,0
"APRO10","D2","","York_D1",1,0
"Sat","","B3, A4","",2,0
"T","C5, D5, C6, D6, F6","","",5,0
"ACER10","","","York_C1",0,0
"ACER11","","","York_C1",0,0
"APRO04","","","York_D1",0,0
"APAL21","","","York_F1",0,0
"APAL44","","","York_F1",0,0
