"genotype","york_locations","tpb_locations","gb_location","n_ropes","n_trees"
"ACER07","F3, C8","","York_D1",1,1
"ACER08","E3","","York_D1",1,0
"ACER12","C8","","York_D1",0,1
"APAL03","D3","","York_F1",1,0
"APAL06","E9","","York_F1",0,1
"APAL10","C7","B5, A8","York_F1",2,1
"APAL11","D7","","York_F1",0,1
"APAL12","D9","B7","York_F1",1,1
"APAL13","C3, F6, D9","A1","York_F1",1,3
"APAL15","E9","","York_F1",0,1
"APAL18","E9","","York_F1",0,1
"APAL20","E9","","York_F1",0,1
"APAL23","C2","","York_F1",1,0
"APAL24","","A1","York_F1",0,1
"APAL25","E8","A2, ST","York_F1",0,2
"APAL33","E9","","York_F1",0,1
"APAL46","E7","","York_F1",0,1
"APAL48","F7","","York_F1",0,1
"APAL49","F8","","",0,1
"APAL50","F9","","York_F1",0,1
"APAL51","D7","","York_F1",0,1
"APAL52","E8","","York_F1",0,1
"APAL53","C9","","York_E1",0,1
"APAL54","D8","","York_E1",0,1
"APAL57","C6","","York_E1",0,1
"APAL58","D6","","York_E1",0,1
"APAL59","F7","","York_E1",0,1
"APAL60","D5","","York_E1",0,1
"APRO01","F2","","York_C1",1,0
"APRO05","C4, E6","A6, B9, A10","York_C1",3,2
"APRO07","E2","","York_C1",1,0
"APRO08","C5","","York_C1",0,1
"APRO10","D2","","York_C1",1,0
"APRO13","","ST","",0,0
"CNAT01","","B1","TPB_A4",0,1
"CNAT03","","B1","TPB_A4",0,1
"DCYL01","","B1","TPB_A4",0,1
"DLAB01","","B1","TPB_A4",0,1
"DLAB02","","B1","TPB_A4",0,1
"DLAB03","","B1","TPB_A4",0,1
"DLAB04","","B1","TPB_A4",0,1
"DLAB05","","B1","TPB_A4",0,1
"MCAV01","","B1","TPB_A4",0,1
"MCAV02","","B1","TPB_A4",0,1
"OANN01","","B1","TPB_A4",0,1
"OANN02","","B1","TPB_A4",0,1
"OANN03","","B1","TPB_A4",0,1
"OANN04","","B1","TPB_A4",0,1
"OANN05","","B1","TPB_A4",0,1
"OANN06","","B1","TPB_A4",0,1
"OANN07","","B1","TPB_A4",0,1
"OFAV01","","B1","TPB_A4",0,1
"OFAV02","","B1","TPB_A4",0,1
"OFAV03","","B1","TPB_A4",0,1
"OFAV04","","B1","TPB_A4",0,1
"OFAV06","","B1","TPB_A4",0,1
"PDIV01","","ST","",0,0
"PFUR01","","ST","",0,0
"PFUR02","","ST","",0,0
"PSTR01","","B1","TPB_A4",0,1
"PSTR02","","B1","TPB_A4",0,1
"PSTR03","","B1","",0,1
"PSTR05","","B1","",0,1
"PSTR07","","B1","",0,1
"ACER10","","","York_D1",0,0
"ACER11","","","York_D1",0,0
"APRO04","","","York_C1",0,0
"APAL21","","","York_F1",0,0
"APAL37","","","York_E1",0,0
"APAL44","","","York_F1",0,0
"OFRA01","","","TPB_A4",0,0
"CNAT02","","","TPB_A4",0,0
"PCLI01","","","TPB_A4",0,0
"PCLI02","","","TPB_A4",0,0
"PCLI03","","","TPB_A4",0,0
"OFAV05","","","TPB_A4",0,0
