"code_spp","name_spp","code_com","name_com","mma_dens","family","functional_group","a","b","trophic_level","trophic_se","citation"
"SISER","Scarus iserti","STRP","Striped parrotfish",0.202239583333333,"Scaridae","Herbivores",0.0147,3.0548,2,0,"Marks & Klomp"
"SVETU","Scarus vetula","QUP","Queen parrotfish",0.174427083333333,"Scaridae","Herbivores",0.025,2.9214,2,0.08,"Marks & Klomp"
"TBIFA","Thalassoma bifasciatum","BHW","Bluehead wrasse",0.174375,"Labridae","Carnivores",0.0089,3.01,3.3,0.1,"FishBase"
"ACOER","Acanthurus coeruleus","BLT","Blue tang",0.0969270833333333,"Acanthuridae","Herbivores",0.0415,2.8346,2,0.03,"Marks & Klomp"
"HAURO","Haemulon aurolineatum","TOM","Tomtate",0.0897916666666667,"Haemulidae","Carnivores",0.01,3.2077,4.4,0,"Marks & Klomp"
"SVIRI","Sparisoma viride","STOP","Stoplight parrotfish",0.0493229166666667,"Scaridae","Herbivores",0.025,2.9214,2,0.02,"Marks & Klomp"
"HFLAV","Haemulon flavolineatum","FRG","French grunt",0.0466666666666667,"Haemulidae","Carnivores",0.0127,3.1581,3.3,0.41,"Marks & Klomp"
"ABAHI","Acanthurus bahianus","OCS","Ocean surgeonfish",0.03171875,"Acanthuridae","Herbivores",0.0237,2.9752,2,0,"Marks & Klomp"
"SAURO","Sparisoma aurofrenatum","RBP","Redband parrotfish",0.0315104166666667,"Scaridae","Herbivores",0.0046,3.4291,2,0.06,"Marks & Klomp"
"OCHRY","Ocyurus chrysurus","YTS","Yellowtail snapper",0.0275520833333333,"Lutjanidae","Carnivores",0.0405,2.718,4,0.67,"Marks & Klomp"
"HBIVI","Halichoeres bivittatus","SLD","Slippery dick",0.02703125,"Labridae","Carnivores",0.0093,3.06,3.3,0.46,"FishBase"
"HPLUM","Haemulon plumieri","WHG","White grunt",0.0252083333333333,"Haemulidae","Carnivores",0.0121,3.1612,3.6,0.48,"Marks & Klomp"
"HSCIU","Haemulon sciurus","BSG","Bluestriped grunt",0.0235416666666667,"Haemulidae","Carnivores",0.0194,2.9996,3.4,0.47,"Marks & Klomp"
"SPLAN","Stegastes planifrons","3SD","3-spot damselfish",0.0225,"Pomacentridae","Omnivores",0.0219,2.96,3.3,0.3,"FishBase"
"STAEN","Scarus taeniopterus","PRP","Princess parrotfish",0.0183333333333333,"Scaridae","Herbivores",0.0335,2.7086,2,0,"Marks & Klomp"
