date,site_code_depth,site_code,depth,tal_pe_rfu,chlorophyll_rfu,cond_m_us_cm,spcond_m_us_cm,tds_mg_l,sal_psu,do_mg_l,ph,temp_c,turbidity_fnu
2026-04-10,CRN1,CRN,1,-0.31,-0.15,57438.4,55099.8,35815,36.46,6.69,8.03,27.222,-0.05
2026-04-10,CRN1,CRN,1,-0.04,-0.1,57432.9,55101.6,35816,36.46,6.67,8.03,27.215,-0.05
2026-04-10,CRS3,CRS,3,-0.31,-0.14,57493.2,55087.1,35807,36.44,6.75,8.07,27.287,-0.07
2026-04-10,CRS1,CRS,1,-0.3,-0.09,57486.1,55086,35806,36.44,6.75,8.06,27.281,-0.02
2026-04-10,CN1,CN,1,-0.38,-0.13,57580.3,55108.5,35820,36.46,6.86,8.21,27.348,-0.06
2026-04-10,CN3,CN,3,-0.34,-0.13,57589.2,55113.5,35824,36.46,6.84,8.25,27.352,-0.07
2026-04-10,MRYC1,MRYC,1,-0.15,-0.11,58715.1,55842.4,36298,37,6.53,7.9,27.693,0.42
2026-04-10,LDB1,LDB,1,-0.3,-0.12,58716.6,55592.7,36135,36.8,6.84,7.8,27.944,0.98
2026-04-10,LDB3,LDB,3,-0.34,-0.12,58576.9,55591.9,36135,36.81,6.42,7.75,27.813,0.77
2026-04-10,BDB3,BDB,3,-0.39,-0.14,58555.6,55614.4,36149,36.82,5.3,7.75,27.769,0.8
2026-04-10,BDB1,BDB,1,0.03,0.45,58629.3,55609.3,36146,36.82,5.48,7.74,27.843,0.97
2026-04-10,YIN1,YIN,1,-0.38,-0.11,57935.5,55492,36070,36.75,5.96,7.77,27.305,1.42
2026-04-10,YIN3,YIN,3,-0.27,-0.12,57875.8,55516.7,36086,36.77,6.03,7.74,27.225,0.45
2026-04-10,FHB3,FHB,3,-0.36,-0.11,58340.6,55599.2,36139,36.82,5.69,7.77,27.581,0.6
2026-04-10,FHB1,FHB,1,-0.3,-0.12,58373.4,55605.6,36144,36.82,5.84,7.76,27.606,0.68
2026-04-10,MRCH1,MRCH,1,-0.4,-0.14,58341.3,55530.9,36095,36.77,7.07,7.81,27.65,1.73
2026-04-10,DB1,DB,1,0.14,-0.1,58412,55651.2,36173,36.86,5.98,7.73,27.598,1.11
2026-04-10,EBB3,EBB,3,-0.32,-0.11,58531.4,55627.7,36158,36.83,5.21,7.64,27.733,2.69
2026-04-10,EBB1,EBB,1,-0.26,-0.14,58575.3,55636.1,36163,36.84,5.47,7.61,27.766,7.97
2026-04-10,YIC3,YIC,3,-0.36,-0.13,57616.9,55416.7,36021,36.7,6.86,7.95,27.078,0.28
2026-04-10,YIC1,YIC,1,-0.34,-0.11,57654.7,55466.9,36054,36.74,6.88,7.95,27.065,0.26
2026-04-10,GIC1,GIC,1,-0.33,-0.12,58102.5,55564.2,36117,36.8,6.92,7.86,27.392,0.42
2026-04-10,GIC3,GIC,3,-0.33,-0.14,58080.2,55564.8,36117,36.8,6.87,7.84,27.37,0.41
2026-04-10,TPBN3,TPBN,3,-0.38,-0.12,57977.3,55540.5,36101,36.78,6.42,7.88,27.297,0.35
2026-04-10,TPBN1,TPBN,1,0.48,-0.15,57972.1,55528.1,36093,36.77,6.47,7.87,27.304,0.33
2026-04-10,RBA1,RBA,1,-0.37,-0.07,58332.7,55625.4,36157,36.84,6.67,7.78,27.548,0.84
2026-04-10,ML3,ML,3,-0.31,-0.12,58307.1,55683,36194,36.88,6.37,7.87,27.467,0.39
2026-04-10,ML1,ML,1,0.02,0.22,58432.2,55657.1,36177,36.86,6.47,7.87,27.611,0.42
2026-04-10,GIA1,GIA,1,-0.35,-0.11,58245.6,55718.4,36217,36.91,6.42,7.79,27.375,1.11
2026-04-10,GIA3,GIA,3,-0.27,-0.11,58149.7,55732.9,36226,36.93,6.44,7.76,27.27,0.51
2026-04-10,NBA3,NBA,3,-0.29,-0.14,58453.9,55787.7,36262,36.96,6.5,7.87,27.502,0.33
2026-04-10,NBA1,NBA,1,0.47,-0.06,58443.6,55769.8,36250,36.95,6.52,7.87,27.51,0.28
2026-04-10,NBRB1,NBRB,1,0.21,-0.11,58964.6,55859.4,36309,37,6.37,7.73,27.911,0.77
2026-04-10,NBRM1,NBRM,1,0.25,-0.1,59525.6,56120.4,36478,37.19,6.19,7.76,28.178,6.4
2026-04-10,EC1,EC,1,-0.3,-0.14,59037.4,55931.2,36355,37.06,6.56,7.75,27.908,0.86
2026-04-10,SRS1,SRS,1,-0.25,-0.13,57920.7,55657,36177,36.88,6.49,7.88,27.129,0.52
2026-04-10,JC1,JC,1,-0.33,-0.13,58148.7,55791.2,36264,36.97,6.51,7.89,27.212,0.33
2026-04-10,JC3,JC,3,-0.37,-0.11,58141.9,55790.9,36264,36.97,6.46,7.83,27.206,0.28
2026-04-10,JN3,JN,3,-0.34,-0.14,57954.4,55695.1,36202,36.9,6.62,8.07,27.123,0.47
2026-04-10,JN1,JN,1,-0.36,-0.13,58028.2,55698.4,36204,36.9,6.63,8.01,27.19,0.48
