date,site_code_depth,site_code,depth,tal_pe_rfu,chlorophyll_rfu,cond_us_cm,spcond_us_cm,tds_mg_l,sal_psu,do_mg_l,ph,temp_c,turbidity_fnu
2026-06-18,MRYC1,MRYC,1,-0.23,-0.15,58579.4,54267.3,35274,35.77,6.81,7.99,29.16,0.51
2026-06-18,NBA1,NBA,1,-0.21,-0.12,57786.8,54130.1,35185,35.69,6.6,7.98,28.537,0.48
2026-06-18,NBA3,NBA,3,-0.22,-0.14,57789.5,54133.1,35187,35.69,6.59,7.92,28.536,0.33
2026-06-18,EC1,EC,1,-0.2,-0.11,58637.3,54273.2,35278,35.78,6.74,7.94,29.21,1.13
2026-06-18,M,M,1,0.75,0.01,59441.1,54579.5,35477,35.99,6.78,7.97,29.664,9.19
2026-06-18,NBRM1,NBRM,1,0.24,-0.1,59293.2,54614.3,35499,36.02,6.79,7.91,29.485,1.3
2026-06-18,NBRB1,NBRB,1,-0.22,-0.11,59052.5,54303.6,35297,35.79,6.85,7.92,29.579,1.8
2026-06-18,LDB3,LDB,3,-0.39,-0.13,57871.5,54068.3,35144,35.64,6.25,8.02,28.683,0.6
2026-06-18,LDB1,LDB,1,-0.35,-0.13,58290.8,54126.2,35182,35.67,6.99,8.03,29.028,0.38
2026-06-18,BDB1,BDB,1,-0.29,-0.14,58094.8,54053,35134,35.62,6.19,7.94,28.915,1.82
2026-06-18,BDB3,BDB,3,-0.34,-0.12,57985.7,54034.5,35122,35.61,6.22,7.88,28.828,1.09
2026-06-18,YIN3,YIN,3,-0.39,-0.16,57684.4,54016.1,35110,35.61,6.23,7.98,28.556,0.68
2026-06-18,YIN1,YIN,1,-0.29,-0.15,57668.9,54015.7,35110,35.61,6.28,7.98,28.541,0.43
2026-06-18,FHB1,FHB,1,-0.34,-0.14,58483.7,54247.5,35261,35.76,6.19,7.85,29.088,0.57
2026-06-18,FHB3,FHB,3,-0.36,-0.11,58370.9,54225.5,35247,35.75,6.61,7.82,29.003,0.87
2026-06-18,DB1,DB,1,-0.22,-0.13,58336.2,54217.4,35241,35.74,6.07,7.8,28.977,4.57
2026-06-18,EBB3,EBB,3,-0.29,-0.12,58314.6,54261.1,35270,35.78,5.09,7.65,28.911,1.35
2026-06-18,EBB1,EBB,1,0.12,-0.04,58441.8,54260,35269,35.77,6.18,7.7,29.036,1.05
2026-06-18,YIC1,YIC,1,-0.34,-0.07,57529.1,54023.7,35115,35.62,6.08,8,28.397,0.49
2026-06-18,YIC3,YIC,3,-0.35,-0.14,57528.7,54031.8,35121,35.62,6.09,7.91,28.388,0.42
2026-06-18,GIC3,GIC,3,-0.37,-0.12,57272.5,53792.9,34965,35.45,6.8,8.05,28.386,0.17
2026-06-18,GIC1,GIC,1,-0.45,-0.08,57265.3,53769.2,34950,35.43,6.74,8.04,28.404,0.18
2026-06-18,TPBN1,TPBN,1,-0.41,-0.16,57341.6,53846.6,35000,35.49,6.79,7.99,28.398,0.35
2026-06-18,TPBN3,TPBN,3,-0.4,-0.13,57337.4,53864.6,35012,35.5,6.75,7.95,28.376,0.23
2026-06-18,RBA1,RBA,1,0.09,-0.13,57927.5,54125.4,35182,35.68,6.69,8.01,28.677,0.65
2026-06-18,ML1,ML,1,-0.29,-0.13,57751.9,54118.7,35177,35.69,6.59,7.99,28.515,0.55
2026-06-18,ML3,ML,3,-0.18,-0.07,57725.5,54123.1,35180,35.69,6.58,7.97,28.485,0.49
2026-06-18,GIA3,GIA,3,-0.37,-0.11,57369.9,54071.3,35146,35.66,6.27,7.97,28.194,0.57
2026-06-18,GIA1,GIA,1,-0.32,-0.13,57754.2,54070.3,35146,35.65,6.91,7.99,28.566,0.62
2026-06-18,SRS1,SRS,1,-0.42,-0.07,57302.6,53933.3,35057,35.56,6.21,7.81,28.271,0.51
2026-06-18,JC3,JC,3,-0.36,-0.11,57379.4,54019.3,35113,35.62,6.8,8.12,28.257,0.21
2026-06-18,JC1,JC,1,-0.15,0.08,57399.5,54019.8,35113,35.62,6.69,8.11,28.276,0.17
2026-06-18,JRS1,JRS,1,-0.34,-0.08,57464.6,54049,35132,35.64,6.57,7.91,28.309,0.44
2026-06-18,JN3,JN,3,-0.32,-0.12,57232.8,53941.6,35062,35.56,6.23,8.12,28.194,0.23
2026-06-18,JN1,JN,1,-0.34,-0.11,57239.9,53945,35064,35.57,6.23,8.13,28.198,0.21
2026-06-17,CRS3,CRS,3,-0.31,-0.11,57441,53827.8,34988,35.47,6.93,8.09,28.514,3.07
2026-06-17,CRS1,CRS,1,-0.3,-0.11,57421.8,53829.2,34989,35.47,6.9,8.1,28.494,4.84
2026-06-17,CRN1,CRN,1,-0.33,-0.13,57479.6,53833.8,34992,35.47,7.01,8.01,28.546,0.91
2026-06-17,CRN3,CRN,3,-0.34,-0.11,57492.9,53838.7,34995,35.48,6.99,7.97,28.554,-0.12
