date,site_code_depth,site_code,depth,tal_pe_rfu,chlorophyll_rfu,cond_us_cm,spcond_us_cm,tds_mg_l,sal_psu,do_mg_l,ph,temp_c,turbidity_fnu
2026-03-12,CN3,CN,3,-0.28,-0.12,56981.3,55171.2,35861,36.52,6.78,8.13,26.718,NA
2026-03-12,CN1,CN,1,0.04,-0.11,56977.4,55165.8,35858,36.52,6.79,8.15,26.72,NA
2026-03-12,CRS3,CRS,3,-0.33,-0.12,57160.5,55205.2,35883,36.55,6.66,8.63,26.854,NA
2026-03-12,CRS1,CRS,1,-0.27,-0.11,57149.5,55203.9,35883,36.55,6.62,8.68,26.845,NA
2026-03-10,LDB3,LDB,3,-0.33,-0.15,56705.5,54973.4,35733,36.38,7.4,8,26.649,NA
2026-03-10,LDB1,LDB,1,-0.28,-0.11,56750.2,54977.8,35736,36.38,7.38,8,26.688,NA
2026-03-10,BDB3,BDB,3,-0.28,-0.17,56674.1,54954.4,35720,36.36,7.04,7.99,26.638,NA
2026-03-10,BDB1,BDB,1,0.68,0.84,56630.7,54939.1,35710,36.35,6.93,8.03,26.612,NA
2026-03-10,YIN3,YIN,3,-0.38,-0.14,56303.1,54925.4,35702,36.35,6.62,7.99,26.313,NA
2026-03-10,YIN1,YIN,1,-0.13,-0.15,56297.9,54925.5,35702,36.35,6.7,8,26.308,NA
2026-03-10,FHB3,FHB,3,-0.41,-0.14,56742.3,54963.1,35726,36.37,7.51,7.98,26.695,NA
2026-03-10,FHB1,FHB,1,-0.14,-0.09,56732,54957.6,35722,36.37,7.37,7.98,26.69,NA
2026-03-10,DB1,DB,1,1.9,-0.11,56528.9,54910.5,35692,36.33,7.08,8.02,26.543,NA
2026-03-10,MRCH1,MRCH,1,1.18,-0.12,56442.5,54941.5,35712,36.36,7.1,8.03,26.43,NA
2026-03-10,EBB3,EBB,3,-0.39,-0.11,56397.5,54964.8,35727,36.38,7.28,7.94,26.365,NA
2026-03-10,EBB1,EBB,1,-0.36,-0.14,56405.4,54964.8,35727,36.38,7.21,7.96,26.372,NA
2026-03-10,YIC3,YIC,3,-0.3,-0.15,56045.5,54939.9,35711,36.37,6.72,7.93,26.054,NA
2026-03-10,YIC1,YIC,1,-0.35,-0.13,56066.5,54939.3,35711,36.37,6.76,7.94,26.074,NA
2026-03-10,GIC3,GIC,3,-0.35,-0.12,56383.8,54927.2,35703,36.35,6.63,7.89,26.388,NA
2026-03-10,GIC1,GIC,1,0.13,-0.11,56361.1,54917.7,35697,36.34,6.75,7.87,26.376,0.4
2026-03-10,TPBN3,TPBN,3,-0.03,-0.12,56506.1,54919.3,35698,36.34,7.02,7.99,26.513,0.58
2026-03-10,TPBN1,TPBN,1,0.24,0.21,56435.4,54869.9,35665,36.31,6.99,8,26.495,0.58
2026-03-10,RBA1,RBA,1,-0.31,-0.13,56038.1,54908.5,35691,36.35,7.01,7.86,26.077,0.86
2026-03-10,ML3,ML,3,-0.33,-0.13,56101.7,54956.6,35722,36.38,6.86,7.98,26.091,0.6
2026-03-10,ML1,ML,1,-0.24,-0.12,56086.4,54945.4,35714,36.37,6.88,8,26.087,0.58
2026-03-10,GIA1,GIA,1,-0.41,-0.1,56244,54957.9,35723,36.38,7.02,7.86,26.225,0.65
2026-03-10,GIA3,GIA,3,-0.38,-0.11,56163.9,54936.7,35709,36.36,6.98,7.85,26.17,0.52
2026-03-10,NBA3,NBA,3,-0.35,-0.14,56215.4,54938.4,35710,36.36,6.78,7.94,26.217,0.38
2026-03-10,NBA1,NBA,1,0,-0.13,56193.4,54935.8,35708,36.36,6.84,7.95,26.199,0.41
2026-03-10,NBRB1,NBRB,1,-0.28,-0.11,56192.5,55019.2,35762,36.43,7.21,7.86,26.117,0.81
2026-03-10,NBRM1,NBRM,1,0.11,-0.05,56062.5,55059.1,35788,36.46,6.84,7.9,25.954,2.67
2026-03-10,EC1,EC,1,-0.27,-0.14,56217.3,55014.9,35760,36.42,6.99,7.78,26.145,0.73
2026-03-10,SRS1,SRS,1,-0.31,-0.06,56462.2,54913.4,35694,36.34,6.84,7.88,26.477,0.26
2026-03-10,JC1,JC,1,-0.35,-0.1,56187.2,54909.5,35691,36.34,6.87,7.84,26.218,0.6
2026-03-10,JC3,JC,3,-0.36,-0.14,56179.1,54910.2,35692,36.34,6.88,7.82,26.21,0.43
2026-03-10,JN3,JN,3,-0.32,-0.15,56204.4,54882.8,35674,36.32,6.56,7.98,26.261,0.09
2026-03-10,JN1,JN,1,-0.33,-0.14,56188.6,54872.8,35667,36.31,6.6,7.97,26.255,0.16
2026-02-12,CN1,CN,1,-0.26,-0.09,57601.4,55328.4,35963,36.63,6.68,7.77,27.151,2.97
2026-02-12,CN3,CN,3,-0.16,-0.07,57581.7,55326.4,35962,36.63,6.67,7.75,27.134,-0.01
2026-02-12,CRS3,CRS,3,-0.28,-0.13,57721,55298.2,35944,36.6,6.39,7.94,27.294,0.94
2026-02-12,CRS1,CRS,1,-0.22,-0.12,57729.7,55300,35945,36.6,6.4,7.88,27.3,-0.2
2026-02-12,MRYC1,MRYC,1,-0.16,-0.11,58054.6,55483.9,36065,36.74,6.47,7.5,27.425,2.22
2026-02-12,LDB3,LDB,3,-0.32,-0.12,57656.2,55373.7,35993,36.66,6.71,7.69,27.156,0.4
2026-02-12,LDB1,LDB,1,-0.4,-0.12,57674.1,55283.1,35934,36.59,6.68,7.68,27.266,0.4
2026-02-12,BDB3,BDB,3,-0.31,-0.14,57708,55415.4,36020,36.69,6.51,7.56,27.165,0.17
2026-02-12,BDB1,BDB,1,-0.31,-0.13,57795.1,55416,36020,36.69,6.6,7.54,27.248,0.2
2026-02-12,YIN3,YIN,3,-0.32,-0.15,57527.3,55401.8,36011,36.69,6.4,7.66,27.009,0.12
2026-02-12,YIN1,YIN,1,-0.36,-0.12,57577.5,55398.4,36009,36.68,6.54,7.66,27.059,0.1
2026-02-12,FHB1,FHB,1,-0.29,-0.14,57489.4,55360,35984,36.66,6.55,7.52,27.014,1.85
2026-02-12,FHB3,FHB,3,-0.26,-0.14,57467.7,55366.4,35988,36.66,6.58,7.49,26.987,NA
2026-02-12,MRCH1,MRCH,1,-0.09,-0.1,58137.9,55114,35824,36.45,6.76,7.62,27.868,1.71
2026-02-12,DB1,DB,1,-0.36,-0.1,57626.1,55330,35965,36.63,6.88,7.55,27.173,1.12
2026-02-12,EBB3,EBB,3,-0.28,-0.12,57485.3,55352.4,35979,36.65,6.51,7.58,27.017,0.43
2026-02-12,EBB1,EBB,1,-0.16,0.15,57468.2,55334.5,35967,36.64,6.53,7.55,27.019,3.35
2026-02-12,YIC1,YIC,1,-0.37,-0.11,57449.3,55335.4,35968,36.64,6.41,7.55,27,1.25
2026-02-12,YIC3,YIC,3,0.02,-0.12,57446.1,55484.1,36065,36.75,6.52,7.52,26.851,1.46
2026-02-12,GIC3,GIC,3,-0.06,-0.12,57480.9,55332.6,35966,36.64,6.84,7.66,27.033,0.11
2026-02-12,GIC1,GIC,1,0.51,0.39,57478.6,55955.2,36371,37.12,6.87,7.64,26.438,0.28
2026-02-12,TPBN1,TPBN,1,-0.32,-0.12,57475.7,55340.4,35971,36.64,6.4,7.54,27.02,0
2026-02-12,TPBN3,TPBN,3,-0.35,-0.13,57457,55338.9,35970,36.64,6.43,7.51,27.004,1.71
2026-02-12,RBA1,RBA,1,-0.1,-0.08,57819.6,55391.5,36004,36.67,6.73,7.64,27.294,0.65
2026-02-12,ML1,ML,1,-0.19,-0.14,57712.5,55415.1,36020,36.69,6.69,7.57,27.171,0.52
2026-02-12,ML3,ML,3,-0.24,-0.13,57713.3,55412.7,36018,36.69,6.68,7.55,27.174,0.47
2026-02-12,GIA3,GIA,3,-0.09,-0.11,57485.1,55402.8,36012,36.69,6.5,7.62,26.968,0.69
2026-02-12,GIA1,GIA,1,-0.15,-0.07,57445,55364,35987,36.66,6.53,7.61,26.967,0.67
2026-02-12,SRS1,SRS,1,-0.39,-0.12,57284.4,55328.8,35964,36.64,6.42,7.48,26.851,0.17
2026-02-12,NBA3,NBA,3,-0.2,-0.1,57502.5,55413.6,36019,36.7,6.48,7.59,26.974,0.78
2026-02-12,NBA1,NBA,1,-0.21,-0.09,57501.4,55398.8,36009,36.69,6.51,7.56,26.987,0.78
2026-02-12,NBRB1,NBRB,1,-0.18,-0.1,57821.2,55446.1,36040,36.71,6.81,7.48,27.243,1.65
2026-02-12,NBRM1,NBRM,1,0.36,0.11,57802.6,55566.6,36118,36.81,6.52,7.46,27.107,2.67
2026-02-12,EC1,EC,1,-0.16,-0.09,57568.2,55372.9,35992,36.66,6.75,7.34,27.076,0.75
2026-02-12,JC3,JC,3,-0.31,-0.13,57663.7,55472.3,36057,36.74,6.26,7.79,27.068,1.89
2026-02-12,JC1,JC,1,-0.28,-0.11,57672.5,55471,36056,36.74,6.29,7.73,27.078,0.05
2026-02-12,JN3,JN,3,-0.31,-0.13,57489.6,55425.2,36026,36.71,6.43,7.67,26.95,0.08
2026-02-12,JN1,JN,1,-0.2,-0.11,57475.9,55421.7,36024,36.71,6.44,7.64,26.941,0.18
