date,site_code_depth,site_code,depth,tal_pe_rfu,chlorophyll_rfu,cond_m_us_cm,spcond_m_us_cm,tds_mg_l,sal_psu,do_mg_l,ph,temp_c,turbidity_fnu
2026-05-22,CRS3,CRS,3,-0.36,-0.12,57305.7,54443.8,35389,35.95,6.46,8.07,27.752,-0.34
2026-05-22,CRS1,CRS,1,0.07,-0.13,57223.7,54406.4,35364,35.92,6.59,8.09,27.711,1.81
2026-05-22,CRN3,CRN,3,-0.33,-0.14,57348.5,54457.9,35398,35.96,6.37,8.09,27.779,-0.25
2026-05-22,CRN1,CRN,1,-0.36,-0.13,57347.1,54459.5,35399,35.96,6.51,8.06,27.776,-0.31
2026-05-22,LDB3,LDB,3,-0.36,-0.14,57957.4,54660.1,35529,36.1,7.13,8.08,28.158,NA
2026-05-22,LDB1,LDB,1,1.06,-0.18,58094.1,54633.6,35512,36.07,7.11,8.1,28.317,NA
2026-05-22,BDB3,BDB,3,-0.32,-0.18,57841.3,54667.6,35534,36.11,6.37,7.98,28.039,NA
2026-05-22,BDB1,BDB,1,-0.12,-0.15,57858.6,54662.1,35530,36.1,6.42,8.02,28.062,NA
2026-05-22,YIN3,YIN,3,-0.38,-0.14,57349.1,54633.6,35512,36.1,5.97,8,27.602,NA
2026-05-22,YIN1,YIN,1,1.12,0.54,57329.6,54643.5,35518,36.11,6.11,8.03,27.574,NA
2026-05-22,FHB3,FHB,3,-0.39,-0.12,57599.2,54626.8,35507,36.08,6.39,7.98,27.849,NA
2026-05-22,FHB1,FHB,1,-0.16,-0.14,57622.3,54613.8,35499,36.07,6.57,8.05,27.884,NA
2026-05-22,EBB3,EBB,3,-0.35,-0.16,57533.4,54633.7,35512,36.09,6.59,7.95,27.779,NA
2026-05-22,EBB1,EBB,1,-0.19,-0.12,57622.6,54641.9,35517,36.1,6.53,7.95,27.856,NA
2026-05-22,MRCH1,MRCH,1,-0.16,-0.12,58144.5,54760.2,35594,36.17,6.51,7.93,28.236,NA
2026-05-22,DB1,DB,1,-0.29,-0.13,57558.1,54615.6,35500,36.08,6.86,8.06,27.821,NA
2026-05-22,YIC3,YIC,3,-0.12,-0.15,57513,54824.5,35636,36.24,5.96,8.01,27.567,NA
2026-05-22,YIC1,YIC,1,-0.13,-0.1,57503.9,54793.2,35616,36.22,6.14,8.03,27.59,NA
2026-05-22,GIC3,GIC,3,-0.28,-0.16,57681,54828.7,35639,36.24,6.88,8.06,27.724,NA
2026-05-22,GIC1,GIC,1,-0.26,-0.13,57709.6,54826.1,35637,36.24,6.82,8.08,27.754,NA
2026-05-22,TPBN3,TPBN,3,-0.34,-0.12,57663.2,54817.2,35631,36.23,6.63,8.06,27.718,NA
2026-05-22,TPBN1,TPBN,1,-0.08,-0.14,57641,55216.6,35891,36.54,6.68,8.09,27.299,NA
2026-05-22,RBA1,RBA,1,-0.06,-0.12,57954.7,54996.6,35748,36.36,6.82,8.07,27.815,NA
2026-05-22,ML1,ML,1,-0.12,-0.14,57846.3,55019.7,35763,36.38,6.56,8.06,27.69,NA
2026-05-22,GIA3,GIA,3,-0.2,-0.11,57651.5,54915.3,35695,36.31,6.51,8.06,27.607,NA
2026-05-22,GIA1,GIA,1,-0.19,-0.1,57748.4,55275.9,35929,36.58,6.57,8.09,27.342,NA
2026-05-22,NBA3,NBA,3,-0.06,-0.1,58032.4,55119.4,35828,36.45,6.59,8.04,27.767,NA
2026-05-22,NBA1,NBA,1,-0.07,-0.13,58018.5,55158.2,35853,36.49,6.59,8.07,27.715,NA
2026-05-22,EC1,EC,1,-0.03,-0.12,58655.1,55367.5,35989,36.63,6.93,8.02,28.109,NA
2026-05-22,NBRM1,NBRM,1,-0.18,-0.14,58801.1,55380.6,35997,36.63,6.65,8.03,28.234,NA
2026-05-22,NBRB1,NBRB,1,0.08,-0.12,59207.5,55276.8,35930,36.54,6.95,8.08,28.723,NA
2026-05-22,MRYC1,MRYC,1,-0.13,-0.13,58117.4,55162.4,35856,36.49,6.79,8,27.805,NA
2026-05-22,SRS1,SRS,1,0.74,-0.12,57600.6,54959.1,35723,36.34,6.19,8.07,27.516,NA
2026-05-22,JC3,JC,3,-0.33,-0.14,57637.8,54881.2,35673,36.28,6.59,8.12,27.63,NA
2026-05-22,JC1,JC,1,-0.1,-0.14,57626,54880.3,35672,36.28,6.47,8.12,27.621,NA
2026-05-22,JRS,JRS,1,0.2,-0.15,57602.9,54835.6,35643,36.25,6.56,8.1,27.642,-340.24
2026-05-22,JN3,JN,3,-0.3,-0.12,57680.2,54938.5,35710,36.32,6.31,8.32,27.613,-307.66
2026-05-22,JN1,JN,1,-0.28,-0.13,57693.5,54936,35708,36.32,6.31,8.4,27.628,-472.29
