date,site_code_depth,site_code,depth,tal_pe_rfu,chlorophyll_rfu,cond_us_cm,spcond_us_cm,tds_mg_l,sal_psu,do_mg_l,ph,temp_c,turbidity_fnu
2026-01-09,BDB1,BDB,1,-0.22,-0.11,57579.7,54403.2,35362,35.91,6.96,7.75,28.057,1.35
2026-01-02,CN3,CN,3,-0.28,-0.14,56115.1,53669.4,34885,35.39,6.53,7.93,27.386,0.04
2026-01-02,CN1,CN,1,0.79,0.72,56040.5,53650.9,34873,35.37,6.64,7.95,27.332,0
2026-01-02,CRS1,CRS,1,-0.33,-0.1,56294.8,53620.5,34853,35.34,6.58,7.87,27.611,-0.03
2026-01-02,CRS3,CRS,3,-0.38,-0.13,56292.9,53623.6,34855,35.35,6.6,7.83,27.606,-0.22
2026-01-01,MRYC1,MRYC,1,-0.13,-0.1,55923.4,53794.3,34966,35.49,6.87,7.93,27.072,0.56
2026-01-01,LDB1,LDB,1,-0.34,-0.14,56218.1,53727.5,34923,35.43,7.27,7.84,27.427,0.41
2026-01-01,LDB3,LDB,3,-0.28,-0.18,56170.2,53710.8,34912,35.42,7.11,7.83,27.397,0.32
2026-01-01,BDB3,BDB,3,-0.27,-0.14,56054.7,53707.4,34910,35.42,7.02,7.94,27.288,0.29
2026-01-01,BDB1,BDB,1,1.24,-0.08,56036.8,53692.6,34900,35.41,6.9,7.95,27.286,0.28
2026-01-01,YIN1,YIN,1,-0.36,-0.12,55892,53696.1,34902,35.41,6.49,7.81,27.142,0.29
2026-01-01,YIN3,YIN,3,-0.32,-0.14,55861.2,53698.6,34904,35.42,6.51,7.79,27.109,0.33
2026-01-01,FHB3,FHB,3,0.02,-0.16,55951.1,53719.6,34918,35.43,6.9,7.93,27.175,0.66
2026-01-01,FHB1,FHB,1,0.5,0.56,55905.8,53707.5,34910,35.42,6.8,7.94,27.145,0.7
2026-01-01,EBB1,EBB,1,-0.33,-0.16,56122.2,53710.1,34912,35.42,7.39,7.85,27.351,0.41
