time,date,site_code_depth
04:41:53 PM,9/10/2025,CRS3
04:41:10 PM,9/10/2025,CRS1
11:33:58 AM,9/9/2025,JC1
11:33:52 AM,9/9/2025,JC1
11:33:30 AM,9/9/2025,JC3
11:31:19 AM,9/9/2025,JC3
11:31:10 AM,9/9/2025,JC3
11:04:48 AM,9/9/2025,BDB3
11:01:59 AM,9/9/2025,YIN1
11:00:13 AM,9/9/2025,YIN3
10:55:44 AM,9/9/2025,FHB1
10:54:18 AM,9/9/2025,FHB3
10:49:45 AM,9/9/2025,EBB1
10:47:54 AM,9/9/2025,EBB3
10:39:53 AM,9/9/2025,MRCH1
10:31:11 AM,9/9/2025,YIC1
10:29:19 AM,9/9/2025,YIC3
10:28:47 AM,9/9/2025,YIC1
10:19:15 AM,9/9/2025,TPBN1
10:17:50 AM,9/9/2025,TPBN3
10:10:11 AM,9/9/2025,ML1
10:08:28 AM,9/9/2025,ML3
10:04:40 AM,9/9/2025,GIA1
10:03:06 AM,9/9/2025,GIA3
09:59:09 AM,9/9/2025,NBA1
09:56:40 AM,9/9/2025,NBA3
09:52:07 AM,9/9/2025,EC1
01:17:16 PM,7/29/2025,JN1
04:38:15 PM,7/2/2025,CN1
04:37:47 PM,7/2/2025,CN3
04:35:25 PM,7/2/2025,CN3
04:34:35 PM,7/2/2025,CN1
04:27:12 PM,7/2/2025,CRS1
04:26:55 PM,7/2/2025,CRS3
04:23:59 PM,7/2/2025,CRS3
04:23:36 PM,7/2/2025,CRS1
11:51:29 AM,7/1/2025,ML1
10:32:27 AM,7/1/2025,GIA1
10:49:51 AM,6/3/2025,YIC3
10:49:29 AM,6/3/2025,YIC1
11:04:50 AM,5/7/2025,LDB1
09:13:56 AM,5/7/2025,NBRB1
09:10:29 AM,5/7/2025,NBRB1
10:21:38 AM,4/8/2025,LBI1
10:10:50 AM,4/8/2025,NBA1
08:47:25 AM,3/11/2025,YIE1
07:40:02 AM,3/11/2025,NBRM1
12:26:03 PM,2/27/2025,species int1
05:51:50 PM,2/4/2025,CN1
10:35:48 AM,2/4/2025,TPBN3
10:06:02 AM,2/4/2025,LBI3
10:20:23 AM,1/8/2025,RRS1
10:05:21 AM,1/8/2025,LBI3
11:27:56 AM,12/4/2024,EBBW3
11:10:36 AM,12/4/2024,YIE1
10:47:03 AM,12/4/2024,RRS1
10:46:11 AM,12/4/2024,RBA1
10:39:37 AM,11/4/2024,TPBN1
11:42:39 AM,10/15/2024,FHB3
11:29:57 AM,10/15/2024,DB1
10:42:09 AM,10/15/2024,NBA3
11:43:53 AM,8/19/2024,BDB3
11:43:40 AM,8/19/2024,BDB1
05:07:19 PM,6/3/2024,LDB3
12:02:20 PM,4/29/2024,EBB1
11:38:13 AM,4/3/2024,YIE1
12:00:35 PM,3/7/2024,PRP3
11:35:37 AM,3/6/2024,TPBN3
11:52:04 AM,2/9/2024,YRS1
11:25:50 AM,2/9/2024,EBB1
11:43:40 AM,2/7/2024,wp
11:24:05 AM,2/7/2024,mk
11:21:58 AM,2/7/2024,mk
11:03:37 AM,2/7/2024,db
10:39:59 AM,2/7/2024,RQ1
03:07:04 PM,1/11/2024,GIE3
02:45:17 PM,1/11/2024,RBA1
12:01:31 PM,12/20/2023,EBB3
02:20:21 PM,10/10/2023,NBRM1
02:14:26 PM,10/10/2023,NBRB1
12:50:46 PM,10/10/2023,MRCH1
11:06:14 AM,10/10/2023,ML3
02:07:04 PM,10/5/2023,EC
02:04:09 PM,10/5/2023,EC
01:47:03 PM,10/5/2023,NBRM1
01:42:12 PM,10/5/2023,NBRM1
01:41:32 PM,10/5/2023,NBRM1
01:41:20 PM,10/5/2023,NBRM1
01:40:58 PM,10/5/2023,NBRM1
01:40:36 PM,10/5/2023,NBRM1
01:28:14 PM,10/5/2023,NBRB1
01:28:05 PM,10/5/2023,NBRB1
01:26:31 PM,10/5/2023,NBRB1
