"","metric","date","n","mean","sd","se"
"1","conductivity","2021-04-06",8,54964.875,72.0564015199205,25.4757850713182
"2","conductivity","2021-08-11",10,54547,869.955937581515,275.104222674486
"3","conductivity","2022-04-07",10,55177.7,321.408376437896,101.638252860055
"4","conductivity","2022-09-06",10,50239,1478.40341810572,467.512210179228
"5","do","2021-04-06",8,6.61875,0.306521381216478,0.108371673618419
"6","do","2021-08-11",10,6.562,0.63239931126535,0.199982221432029
"7","do","2022-04-07",10,6.623,0.170688149689557,0.0539763322618761
"8","do","2022-09-06",10,6.393,1.24188074217204,0.392717172756397
"9","enterococci","2021-04-06",8,0,0,0
"10","enterococci","2021-08-11",10,0.7,0.674948557710553,0.213437474581095
"11","enterococci","2022-04-07",10,0,0,0
"12","enterococci","2022-09-06",10,0,0,0
"13","nitrate","2021-04-06",8,0.03375,0.0277424378370549,0.0098084329606139
"14","nitrate","2021-08-11",10,0.014,0.0442718872423573,0.014
"15","nitrate","2022-04-07",10,0.003,0.00674948557710553,0.00213437474581095
"16","nitrate","2022-09-06",10,0.01,0.00942809041582063,0.00298142396999972
"17","ph","2021-04-06",8,8.171,0.0346739919000642,0.0122591074016714
"18","ph","2021-08-11",10,7.764,0.197044834153719,0.0623110477095889
"19","ph","2022-04-07",10,8.183,0.0240601099101579,0.00760847480700882
"20","ph","2022-09-06",10,8.093,0.123652739557197,0.0391024295920344
"21","phosphate","2021-04-06",8,0.33,0.128507920823137,0.0454344111251121
"22","phosphate","2021-08-11",10,0,0,0
"23","phosphate","2022-04-07",10,0.248,0.0410419839243237,0.0129786148892879
"24","phosphate","2022-09-06",10,0.023,0.0149443411809733,0.00472581562625261
"25","salinity","2021-04-06",8,36.37625,0.0523552426082753,0.0185103735394892
"26","salinity","2021-08-11",10,31.353,0.805054173470471,0.254580482799099
"27","salinity","2022-04-07",10,30.582,0.204982384066967,0.0648211213863026
"28","salinity","2022-09-06",10,31.574,0.869932308988592,0.275096750657332
"29","tds","2021-04-06",8,35.727125,0.0467162789002473,0.0165166988010835
"30","tds","2021-08-11",10,35.732,0.806939347851567,0.255176627282185
"31","tds","2022-04-07",10,34.05,0.271825107171667,0.0859586463881839
"32","tds","2022-09-06",10,34.645,0.906338788753963,0.286609490422072
"33","temperature","2021-04-06",8,26.425,0.138873014965882,0.0490990253030981
"34","temperature","2021-08-11",10,28.91,0.264365067451977,0.0835995746932295
"35","temperature","2022-04-07",10,26.54,0.17763883459299,0.0561743318211758
"36","temperature","2022-09-06",10,29.59,0.207899548393503,0.0657436097443868
"37","turbidity","2021-04-06",8,0.31875,0.0561725657492796,0.0198600010789814
"38","turbidity","2021-08-11",10,1.186,0.524005937201309,0.165705226900729
"39","turbidity","2022-04-07",10,0.728,0.174406931564596,0.0551523143465238
"40","turbidity","2022-09-06",10,0.61,0.323865541373096,0.102415276638248
